"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","91.189.91.49","172.20.10.8","TCP","66","","","80  >  57988 [ACK] Seq=1 Ack=1 Win=47 Len=0 TSval=2238364533 TSecr=3368570885"
"2","0.000000134","91.189.91.49","172.20.10.8","TCP","54","","","80  >  57988 [RST] Seq=0 Win=0 Len=0"
"3","0.000000169","91.189.91.49","172.20.10.8","TCP","54","","","80  >  57988 [RST] Seq=1 Win=0 Len=0"
"4","0.578991029","fe80::e06d:17ff:fe99:5b64","ff02::1","ICMPv6","142","","","Router Advertisement from e2:6d:17:99:5b:64"
"5","0.589080987","fe80::a359:e5d7:b650:2be6","ff02::16","ICMPv6","150","","","Multicast Listener Report Message v2"
"6","1.128600780","fe80::a359:e5d7:b650:2be6","ff02::16","ICMPv6","150","","","Multicast Listener Report Message v2"
"7","2.071150118","172.20.10.8","172.20.10.1","DNS","89","53","37882","Standard query 0x426b A a.config.skype.com OPT"
"8","2.071239302","172.20.10.8","172.20.10.1","DNS","89","53","52115","Standard query 0x354c AAAA a.config.skype.com OPT"
"9","2.137328813","172.20.10.1","172.20.10.8","DNS","241","37882","53","Standard query response 0x426b A a.config.skype.com CNAME skypeecs-prod-edge-a.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16 OPT"
"10","2.141981528","172.20.10.1","172.20.10.8","DNS","253","52115","53","Standard query response 0x354c AAAA a.config.skype.com CNAME skypeecs-prod-edge-a.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net AAAA 2620:1ec:21::16 OPT"
"11","2.185125972","172.20.10.8","172.20.10.1","DNS","85","53","56397","Standard query 0x9694 A pipe.skype.com OPT"
"12","2.185193432","172.20.10.8","172.20.10.1","DNS","85","53","59021","Standard query 0x03c2 AAAA pipe.skype.com OPT"
"13","2.185773313","172.20.10.8","13.107.42.16","TCP","74","","","44820  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2202758718 TSecr=0 WS=128"
"14","2.211367680","13.107.42.16","172.20.10.8","TCP","74","","","443  >  44820 [SYN, ACK] Seq=0 Ack=1 Win=23808 Len=0 MSS=1410 SACK_PERM=1 TSval=2497925531 TSecr=2202758718 WS=512"
"15","2.211392707","172.20.10.8","13.107.42.16","TCP","66","","","44820  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2202758744 TSecr=2497925531"
"16","2.211812850","172.20.10.8","13.107.42.16","TLSv1.2","323","","","Client Hello"
"17","2.222306139","172.20.10.1","172.20.10.8","DNS","210","56397","53","Standard query response 0x9694 A pipe.skype.com CNAME global.aria.events.data.trafficmanager.net CNAME onedscolprdwus13.westus.cloudapp.azure.com A 20.189.173.14 OPT"
"18","2.246250755","13.107.42.16","172.20.10.8","TCP","66","","","443  >  44820 [ACK] Seq=1 Ack=258 Win=25088 Len=0 TSval=2497925569 TSecr=2202758744"
"19","2.251473857","172.20.10.1","172.20.10.8","DNS","264","59021","53","Standard query response 0x03c2 AAAA pipe.skype.com CNAME global.aria.events.data.trafficmanager.net CNAME onedscolprdwus13.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"20","2.251728851","172.20.10.8","172.20.10.1","DNS","113","53","35353","Standard query 0x5559 AAAA onedscolprdwus13.westus.cloudapp.azure.com OPT"
"21","2.257331072","172.20.10.1","172.20.10.8","DNS","183","35353","53","Standard query response 0x5559 AAAA onedscolprdwus13.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"22","2.257334357","13.107.42.16","172.20.10.8","TCP","2862","","","443  >  44820 [PSH, ACK] Seq=1 Ack=258 Win=25088 Len=2796 TSval=2497925573 TSecr=2202758744 [TCP segment of a reassembled PDU]"
"23","2.257368216","172.20.10.8","13.107.42.16","TCP","66","","","44820  >  443 [ACK] Seq=258 Ack=2797 Win=61568 Len=0 TSval=2202758789 TSecr=2497925573"
"24","2.257334394","13.107.42.16","172.20.10.8","TLSv1.2","1440","","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25","2.257382478","172.20.10.8","13.107.42.16","TCP","66","","","44820  >  443 [ACK] Seq=258 Ack=4171 Win=60288 Len=0 TSval=2202758790 TSecr=2497925573"
"26","2.258865682","172.20.10.8","13.107.42.16","TLSv1.2","224","","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"27","2.258999709","172.20.10.8","20.189.173.14","TCP","74","","","35698  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3095526094 TSecr=0 WS=128"
"28","2.279295299","20.189.173.14","172.20.10.8","TCP","74","","","443  >  35698 [SYN, ACK] Seq=0 Ack=1 Win=23808 Len=0 MSS=1410 SACK_PERM=1 TSval=3403575654 TSecr=3095526094 WS=512"
"29","2.279316984","172.20.10.8","20.189.173.14","TCP","66","","","35698  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3095526114 TSecr=3403575654"
"30","2.279639916","172.20.10.8","20.189.173.14","TLSv1.2","319","","","Client Hello"
"31","2.291106598","13.107.42.16","172.20.10.8","TLSv1.2","408","","","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"32","2.292849354","172.20.10.8","13.107.42.16","TLSv1.2","360","","","Application Data"
"33","2.311232473","20.189.173.14","172.20.10.8","TCP","66","","","443  >  35698 [ACK] Seq=1 Ack=254 Win=25088 Len=0 TSval=3403575686 TSecr=3095526115"
"34","2.360958201","13.107.42.16","172.20.10.8","TCP","66","","","443  >  44820 [ACK] Seq=4513 Ack=710 Win=27136 Len=0 TSval=2497925684 TSecr=2202758825"
"35","2.525970624","13.107.42.16","172.20.10.8","TLSv1.2","1304","","","Application Data"
