"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.25","224.0.0.251","MDNS","283","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"2","0.000546483","fe80::9b44:993a:ec84:49a","ff02::fb","MDNS","303","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question ANY Android-2.local, ""QU"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"3","0.249848238","192.168.0.25","224.0.0.251","MDNS","283","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"4","0.249849380","fe80::9b44:993a:ec84:49a","ff02::fb","MDNS","303","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"5","0.465245796","fe80::9b44:993a:ec84:49a","ff02::16","ICMPv6","90","","","Multicast Listener Report Message v2"
"6","0.500374658","192.168.0.25","224.0.0.251","MDNS","283","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"7","0.500990155","fe80::9b44:993a:ec84:49a","ff02::fb","MDNS","303","5353","5353","Standard query 0x0000 ANY {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question ANY Android-2.local, ""QM"" question SRV 0 0 56666 Android-2.local A 192.168.0.25 AAAA fe80::9b44:993a:ec84:49a AAAA 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a"
"8","0.751586096","192.168.0.25","224.0.0.251","MDNS","783","5353","5353","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 192.168.0.25 AAAA, cache flush fe80::9b44:993a:ec84:49a AAAA, cache flush 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA, cache flush 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a NSEC, cache flush {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local NSEC, cache flush 25.0.168.192.in-addr.arpa NSEC, cache flush A.9.4.0.4.8.C.E.A.3.9.9.4.4.B.9.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 6.1.D.B.E.7.2.2.A.A.9.9.C.E.D.4.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush A.9.B.D.C.E.4.5.D.F.7.1.E.E.3.A.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush Android-2.local"
"9","0.751693256","fe80::9b44:993a:ec84:49a","ff02::fb","MDNS","803","5353","5353","Standard query response 0x0000 TXT, cache flush PTR _mi-connect._udp.local PTR {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local SRV, cache flush 0 0 56666 Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 192.168.0.25 AAAA, cache flush fe80::9b44:993a:ec84:49a AAAA, cache flush 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 AAAA, cache flush 2a02:2788:7d4:2bf:a3ee:17fd:54ec:db9a NSEC, cache flush {""nm"":""Redmi 10 2022"",""as"":""[8194]"",""ip"":""25""}._mi-connect._udp.local NSEC, cache flush 25.0.168.192.in-addr.arpa NSEC, cache flush A.9.4.0.4.8.C.E.A.3.9.9.4.4.B.9.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush 6.1.D.B.E.7.2.2.A.A.9.9.C.E.D.4.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush A.9.B.D.C.E.4.5.D.F.7.1.E.E.3.A.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush Android-2.local"
"10","1.269548476","BelkinIn_73:0c:6b","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/60:38:e0:73:0c:6b  Cost = 0  Port = 0x8001"
