"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.50","1.1.1.1","DNS","89","53","36612","Standard query 0xe78e A a.config.skype.com OPT"
"2","0.000086247","192.168.0.50","1.1.1.1","DNS","89","53","53581","Standard query 0xfe42 AAAA a.config.skype.com OPT"
"3","0.020633182","1.1.1.1","192.168.0.50","DNS","253","53581","53","Standard query response 0xfe42 AAAA a.config.skype.com CNAME skypeecs-prod-edge-a.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net AAAA 2620:1ec:21::16 OPT"
"4","0.020935292","1.1.1.1","192.168.0.50","DNS","241","36612","53","Standard query response 0xe78e A a.config.skype.com CNAME skypeecs-prod-edge-a.trafficmanager.net CNAME l-0007.config.skype.com CNAME config-edge-skype.l-0007.l-msedge.net CNAME l-0007.l-msedge.net A 13.107.42.16 OPT"
"5","0.094919261","192.168.0.50","13.107.42.16","TCP","74","","","40434  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3443168507 TSecr=0 WS=128"
"6","0.115142286","13.107.42.16","192.168.0.50","TCP","66","","","443  >  40434 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"7","0.115176846","192.168.0.50","13.107.42.16","TCP","54","","","40434  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"8","0.158469409","192.168.0.50","1.1.1.1","DNS","85","53","41531","Standard query 0x5b6f A pipe.skype.com OPT"
"9","0.158568831","192.168.0.50","1.1.1.1","DNS","85","53","49429","Standard query 0xdd0f AAAA pipe.skype.com OPT"
"10","0.159304266","192.168.0.50","13.107.42.16","TLSv1.2","311","","","Client Hello"
"11","0.172264866","1.1.1.1","192.168.0.50","DNS","210","41531","53","Standard query response 0x5b6f A pipe.skype.com CNAME global.aria.events.data.trafficmanager.net CNAME onedscolprdwus05.westus.cloudapp.azure.com A 20.189.173.6 OPT"
"12","0.174409991","13.107.42.16","192.168.0.50","TCP","60","","","443  >  40434 [ACK] Seq=1 Ack=258 Win=4194304 Len=0"
"13","0.176600984","13.107.42.16","192.168.0.50","TLSv1.2","4224","","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"14","0.176619869","192.168.0.50","13.107.42.16","TCP","54","","","40434  >  443 [ACK] Seq=258 Ack=4171 Win=60160 Len=0"
