"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.202.144.138","172.20.10.8","UDP","162","41217","3478","3478  >  41217 Len=120"
"2","0.000188209","172.20.10.8","20.202.144.138","UDP","128","3478","41217","41217  >  3478 Len=86"
"3","0.021027618","172.20.10.8","20.202.144.138","UDP","127","3478","41217","41217  >  3478 Len=85"
"4","0.022049949","20.202.144.138","172.20.10.8","UDP","154","41217","3478","3478  >  41217 Len=112"
"5","0.041341275","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"6","0.042799694","20.202.144.138","172.20.10.8","UDP","160","41217","3478","3478  >  41217 Len=118"
"7","0.060155633","20.202.144.138","172.20.10.8","UDP","151","41217","3478","3478  >  41217 Len=109"
"8","0.061898199","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"9","0.077560161","172.20.10.8","20.202.144.138","UDP","131","3478","41217","41217  >  3478 Len=89"
"10","0.083865927","20.202.144.138","172.20.10.8","UDP","134","41217","3478","3478  >  41217 Len=92"
"11","0.103550640","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"12","0.108861528","20.202.144.138","172.20.10.8","UDP","130","41217","3478","3478  >  41217 Len=88"
"13","0.118990823","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"14","0.120055641","20.202.144.138","172.20.10.8","UDP","122","41217","3478","3478  >  41217 Len=80"
"15","0.125041092","172.20.10.8","51.137.91.111","TCP","66","","","54526  >  443 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=331313327 TSecr=1480080425"
"16","0.125252798","172.20.10.8","52.168.112.66","TLSv1.2","1041","","","Application Data"
"17","0.125355059","172.20.10.8","52.168.112.66","TCP","2862","","","43576  >  443 [PSH, ACK] Seq=976 Ack=1 Win=501 Len=2796 TSval=405324002 TSecr=998624774 [TCP segment of a reassembled PDU]"
"18","0.125379815","172.20.10.8","52.168.112.66","TCP","2862","","","43576  >  443 [PSH, ACK] Seq=3772 Ack=1 Win=501 Len=2796 TSval=405324002 TSecr=998624774 [TCP segment of a reassembled PDU]"
"19","0.128807421","172.20.10.8","52.168.112.66","TCP","2862","","","43576  >  443 [PSH, ACK] Seq=6568 Ack=1 Win=501 Len=2796 TSval=405324005 TSecr=998624774 [TCP segment of a reassembled PDU]"
"20","0.128830663","172.20.10.8","52.168.112.66","TCP","2862","","","43576  >  443 [PSH, ACK] Seq=9364 Ack=1 Win=501 Len=2796 TSval=405324005 TSecr=998624774 [TCP segment of a reassembled PDU]"
"21","0.129712890","172.20.10.8","52.168.112.66","TLSv1.2","1254","","","Application Data"
"22","0.138134858","20.202.144.138","172.20.10.8","UDP","138","41217","3478","3478  >  41217 Len=96"
"23","0.139596362","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"24","0.157143986","51.137.91.111","172.20.10.8","TCP","66","","","443  >  54526 [ACK] Seq=1 Ack=2 Win=57 Len=0 TSval=1480089123 TSecr=331313327"
"25","0.160106316","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"26","0.166990777","20.202.144.138","172.20.10.8","UDP","126","41217","3478","3478  >  41217 Len=84"
"27","0.175001109","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=976 Win=240 Len=0 TSval=998633699 TSecr=405324002"
"28","0.175001270","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=2374 Win=246 Len=0 TSval=998633699 TSecr=405324002"
"29","0.175001343","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=3772 Win=251 Len=0 TSval=998633699 TSecr=405324002"
"30","0.175939078","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=5170 Win=257 Len=0 TSval=998633699 TSecr=405324002"
"31","0.179277801","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=6568 Win=262 Len=0 TSval=998633699 TSecr=405324002"
"32","0.179277915","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=7966 Win=268 Len=0 TSval=998633700 TSecr=405324005"
"33","0.179277987","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=9364 Win=273 Len=0 TSval=998633703 TSecr=405324005"
"34","0.180120847","52.168.112.66","172.20.10.8","TCP","66","","","443  >  43576 [ACK] Seq=1 Ack=10762 Win=279 Len=0 TSval=998633703 TSecr=405324005"
"35","0.180409080","172.20.10.8","20.202.144.138","UDP","132","3478","41217","41217  >  3478 Len=90"
