"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.40","20.202.144.62","UDP","142","3478","10704","10704  >  3478 Len=100"
"2","0.013082864","20.202.144.62","192.168.0.40","UDP","166","10704","3478","3478  >  10704 Len=124"
"3","0.020238351","192.168.0.40","20.202.144.62","UDP","132","3478","10704","10704  >  3478 Len=90"
"4","0.023015350","20.202.144.62","192.168.0.40","STUN","146","10704","3478","Binding Request user: uXX+:Yxd9"
"5","0.030602133","192.168.0.40","20.202.144.62","STUN","122","3478","10704","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.149.137:3480"
"6","0.038200116","20.202.144.62","192.168.0.40","UDP","153","10704","3478","3478  >  10704 Len=111"
"7","0.040835825","192.168.0.40","20.202.144.62","UDP","128","3478","10704","10704  >  3478 Len=86"
"8","0.044981244","20.202.144.62","192.168.0.40","UDP","157","10704","3478","3478  >  10704 Len=115"
"9","0.061760225","192.168.0.40","20.202.144.62","UDP","125","3478","10704","10704  >  3478 Len=83"
"10","0.074959893","20.202.144.62","192.168.0.40","UDP","157","10704","3478","3478  >  10704 Len=115"
"11","0.082792180","192.168.0.40","20.202.144.62","UDP","128","3478","10704","10704  >  3478 Len=86"
"12","0.095430009","20.202.144.62","192.168.0.40","UDP","150","10704","3478","3478  >  10704 Len=108"
"13","0.098251971","192.168.0.40","20.202.144.62","UDP","132","3478","10704","10704  >  3478 Len=90"
"14","0.123744961","192.168.0.40","20.202.144.62","UDP","132","3478","10704","10704  >  3478 Len=90"
"15","0.125400299","20.202.144.62","192.168.0.40","UDP","175","10704","3478","3478  >  10704 Len=133"
"16","0.128381926","20.202.144.62","192.168.0.40","UDP","169","10704","3478","3478  >  10704 Len=127"
"17","0.144113267","192.168.0.40","20.202.144.62","UDP","128","3478","10704","10704  >  3478 Len=86"
"18","0.155041407","20.202.144.62","192.168.0.40","UDP","165","10704","3478","3478  >  10704 Len=123"
"19","0.159543303","192.168.0.40","20.202.144.62","UDP","142","3478","10704","10704  >  3478 Len=100"
"20","0.180270419","192.168.0.40","20.202.144.62","UDP","131","3478","10704","10704  >  3478 Len=89"
"21","0.184039607","20.202.144.62","192.168.0.40","UDP","171","10704","3478","3478  >  10704 Len=129"
"22","0.201041389","192.168.0.40","20.202.144.62","UDP","129","3478","10704","10704  >  3478 Len=87"
"23","0.202105260","20.202.144.62","192.168.0.40","UDP","169","10704","3478","3478  >  10704 Len=127"
"24","0.215068056","20.202.144.62","192.168.0.40","UDP","163","10704","3478","3478  >  10704 Len=121"
"25","0.222178829","192.168.0.40","20.202.144.62","UDP","134","3478","10704","10704  >  3478 Len=92"
"26","0.237670418","20.202.144.62","192.168.0.40","UDP","173","10704","3478","3478  >  10704 Len=131"
"27","0.243356135","192.168.0.40","20.202.144.62","UDP","131","3478","10704","10704  >  3478 Len=89"
"28","0.263522813","192.168.0.40","20.202.144.62","UDP","131","3478","10704","10704  >  3478 Len=89"
"29","0.264928050","20.202.144.62","192.168.0.40","UDP","176","10704","3478","3478  >  10704 Len=134"
"30","0.268056775","20.202.144.62","192.168.0.40","UDP","172","10704","3478","3478  >  10704 Len=130"
"31","0.278528954","192.168.0.40","20.202.144.62","UDP","127","3478","10704","10704  >  3478 Len=85"
"32","0.293494650","20.202.144.62","192.168.0.40","UDP","174","10704","3478","3478  >  10704 Len=132"
"33","0.303554840","192.168.0.40","20.202.144.62","UDP","133","3478","10704","10704  >  3478 Len=91"
"34","0.320464345","20.202.144.62","192.168.0.40","UDP","169","10704","3478","3478  >  10704 Len=127"
"35","0.324226211","192.168.0.40","20.202.144.62","UDP","144","3478","10704","10704  >  3478 Len=102"
"36","0.340335139","192.168.0.40","20.202.144.62","UDP","137","3478","10704","10704  >  3478 Len=95"
