"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.202.144.136","192.168.0.50","UDP","172","24866","3478","3478  >  24866 Len=130"
"2","0.004478314","20.202.144.136","192.168.0.50","UDP","166","24866","3478","3478  >  24866 Len=124"
"3","0.010488664","192.168.0.50","20.202.144.136","UDP","120","3478","24866","24866  >  3478 Len=78"
"4","0.030771896","192.168.0.50","20.202.144.136","UDP","120","3478","24866","24866  >  3478 Len=78"
"5","0.036283885","20.202.144.136","192.168.0.50","UDP","178","24866","3478","3478  >  24866 Len=136"
"6","0.045854811","192.168.0.50","20.202.144.136","UDP","124","3478","24866","24866  >  3478 Len=82"
"7","0.053410125","20.202.144.136","192.168.0.50","UDP","156","24866","3478","3478  >  24866 Len=114"
"8","0.064140355","20.202.144.136","192.168.0.50","UDP","146","24866","3478","3478  >  24866 Len=104"
"9","0.067967908","192.168.0.50","20.202.144.136","UDP","131","3478","24866","24866  >  3478 Len=89"
"10","0.089279614","20.202.144.136","192.168.0.50","UDP","165","24866","3478","3478  >  24866 Len=123"
"11","0.094449400","192.168.0.50","20.202.144.136","UDP","122","3478","24866","24866  >  3478 Len=80"
"12","0.107700815","20.202.144.136","192.168.0.50","UDP","159","24866","3478","3478  >  24866 Len=117"
"13","0.110687481","192.168.0.50","20.202.144.136","UDP","116","3478","24866","24866  >  3478 Len=74"
"14","0.131667017","192.168.0.50","20.202.144.136","UDP","120","3478","24866","24866  >  3478 Len=78"
"15","0.139494566","20.202.144.136","192.168.0.50","UDP","181","24866","3478","3478  >  24866 Len=139"
"16","0.148513055","20.202.144.136","192.168.0.50","UDP","155","24866","3478","3478  >  24866 Len=113"
"17","0.152669373","192.168.0.50","20.202.144.136","UDP","116","3478","24866","24866  >  3478 Len=74"
"18","0.171250700","20.202.144.136","192.168.0.50","UDP","167","24866","3478","3478  >  24866 Len=125"
"19","0.173561555","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"20","0.188925108","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"21","0.195282746","20.202.144.136","192.168.0.50","UDP","166","24866","3478","3478  >  24866 Len=124"
"22","0.210039173","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"23","0.221197330","20.202.144.136","192.168.0.50","UDP","170","24866","3478","3478  >  24866 Len=128"
"24","0.229459836","192.168.0.50","20.202.144.136","UDP","129","3478","24866","24866  >  3478 Len=87"
"25","0.230266363","20.202.144.136","192.168.0.50","UDP","162","24866","3478","3478  >  24866 Len=120"
"26","0.249498471","192.168.0.50","20.202.144.136","UDP","119","3478","24866","24866  >  3478 Len=77"
"27","0.255717569","20.202.144.136","192.168.0.50","UDP","163","24866","3478","3478  >  24866 Len=121"
"28","0.270713108","192.168.0.50","20.202.144.136","UDP","120","3478","24866","24866  >  3478 Len=78"
"29","0.275043134","20.202.144.136","192.168.0.50","UDP","161","24866","3478","3478  >  24866 Len=119"
"30","0.290653816","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"31","0.290722465","20.202.144.136","192.168.0.50","UDP","168","24866","3478","3478  >  24866 Len=126"
"32","0.306542346","192.168.0.50","20.202.144.136","UDP","117","3478","24866","24866  >  3478 Len=75"
"33","0.309873425","192.168.0.50","20.202.144.136","STUN","146","3478","24866","Binding Request user: lr7t:z6PQ"
"34","0.312899959","20.202.144.136","192.168.0.50","UDP","177","24866","3478","3478  >  24866 Len=135"
"35","0.328295695","192.168.0.50","20.202.144.136","UDP","119","3478","24866","24866  >  3478 Len=77"
"36","0.336020878","20.202.144.136","192.168.0.50","UDP","167","24866","3478","3478  >  24866 Len=125"
"37","0.348650689","192.168.0.50","20.202.144.136","UDP","124","3478","24866","24866  >  3478 Len=82"
"38","0.358288056","20.202.144.136","192.168.0.50","UDP","168","24866","3478","3478  >  24866 Len=126"
"39","0.369121161","20.202.144.136","192.168.0.50","UDP","170","24866","3478","3478  >  24866 Len=128"
"40","0.369838265","192.168.0.50","20.202.144.136","UDP","124","3478","24866","24866  >  3478 Len=82"
"41","0.388326603","20.202.144.136","192.168.0.50","UDP","164","24866","3478","3478  >  24866 Len=122"
"42","0.391309883","192.168.0.50","20.202.144.136","UDP","129","3478","24866","24866  >  3478 Len=87"
"43","0.412466827","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"44","0.413941856","20.202.144.136","192.168.0.50","UDP","188","24866","3478","3478  >  24866 Len=146"
"45","0.428631696","192.168.0.50","20.202.144.136","UDP","119","3478","24866","24866  >  3478 Len=77"
"46","0.432878251","20.202.144.136","192.168.0.50","STUN","122","24866","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.136:3480"
"47","0.439067274","20.202.144.136","192.168.0.50","UDP","188","24866","3478","3478  >  24866 Len=146"
"48","0.448064662","20.202.144.136","192.168.0.50","UDP","175","24866","3478","3478  >  24866 Len=133"
"49","0.449632333","192.168.0.50","20.202.144.136","UDP","121","3478","24866","24866  >  3478 Len=79"
"50","0.463518136","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","2a02:2788:fff0:7::3","DNS","120","53","42008","Standard query 0x08ee A connectivity-check.ubuntu.com OPT"
"51","0.470650516","192.168.0.50","20.202.144.136","UDP","125","3478","24866","24866  >  3478 Len=83"
"52","0.476815794","20.202.144.136","192.168.0.50","UDP","180","24866","3478","3478  >  24866 Len=138"
"53","0.476828086","2a02:2788:fff0:7::3","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","DNS","448","42008","53","Standard query response 0x08ee A connectivity-check.ubuntu.com A 185.125.190.18 A 185.125.190.49 A 34.122.121.32 A 185.125.190.17 A 91.189.91.48 A 35.232.111.17 A 35.224.170.84 A 185.125.190.48 A 91.189.91.49 NS ns3.canonical.com NS ns2.canonical.com NS ns1.canonical.com AAAA 2620:2d:4000:1::43 AAAA 2620:2d:4000:1::44 A 91.189.91.139 A 91.189.94.173 A 185.125.190.66 A 185.125.190.65 OPT"
"54","0.478784564","192.168.0.50","185.125.190.18","TCP","74","","","41198  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2087245774 TSecr=0 WS=128"
