"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","172.20.10.8","20.202.144.138","UDP","129","3478","41217","41217  >  3478 Len=87"
"2","0.020029647","172.20.10.8","20.202.144.138","UDP","138","3478","41217","41217  >  3478 Len=96"
"3","0.041218871","172.20.10.8","20.202.144.138","UDP","129","3478","41217","41217  >  3478 Len=87"
"4","0.063487071","172.20.10.8","20.202.144.138","UDP","125","3478","41217","41217  >  3478 Len=83"
"5","0.080157840","172.20.10.8","20.202.144.138","UDP","128","3478","41217","41217  >  3478 Len=86"
"6","0.101937224","172.20.10.8","20.202.144.138","UDP","140","3478","41217","41217  >  3478 Len=98"
"7","0.117934051","172.20.10.8","20.202.144.138","UDP","131","3478","41217","41217  >  3478 Len=89"
"8","0.138822808","172.20.10.8","20.202.144.138","UDP","143","3478","41217","41217  >  3478 Len=101"
"9","0.160215615","172.20.10.8","20.202.144.138","UDP","136","3478","41217","41217  >  3478 Len=94"
"10","0.160687953","20.202.144.138","172.20.10.8","RTCP","146","41217","3478","Payload-specific Feedback   ALFB  "
"11","0.181402905","172.20.10.8","20.202.144.138","UDP","142","3478","41217","41217  >  3478 Len=100"
"12","0.197383190","172.20.10.8","20.202.144.138","UDP","142","3478","41217","41217  >  3478 Len=100"
"13","0.212757433","172.20.10.8","20.202.146.15","STUN","146","3478","44992","Binding Request user: wdbv:JXyP"
"14","0.219244303","172.20.10.8","20.202.144.138","UDP","149","3478","41217","41217  >  3478 Len=107"
"15","0.242173301","172.20.10.8","20.202.144.138","UDP","185","3478","41217","41217  >  3478 Len=143"
"16","0.262299014","172.20.10.8","20.202.144.138","UDP","180","3478","41217","41217  >  3478 Len=138"
"17","0.277996470","172.20.10.8","20.202.144.138","UDP","174","3478","41217","41217  >  3478 Len=132"
"18","0.299473410","172.20.10.8","20.202.144.138","UDP","175","3478","41217","41217  >  3478 Len=133"
"19","0.307116836","172.20.10.8","20.202.146.15","RTCP","142","3478","44992","Receiver Report   ([Malformed Packet]"
"20","0.312366949","20.202.146.15","172.20.10.8","STUN","122","44992","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.146.15:3481"
"21","0.321141952","172.20.10.8","20.202.144.138","UDP","166","3478","41217","41217  >  3478 Len=124"
"22","0.337319220","172.20.10.8","20.202.144.138","UDP","166","3478","41217","41217  >  3478 Len=124"
"23","0.364568688","172.20.10.8","20.202.144.138","UDP","161","3478","41217","41217  >  3478 Len=119"
"24","0.385922928","172.20.10.8","20.202.144.138","UDP","158","3478","41217","41217  >  3478 Len=116"
"25","0.402093872","172.20.10.8","20.202.144.138","UDP","165","3478","41217","41217  >  3478 Len=123"
"26","0.423787352","172.20.10.8","20.202.144.138","UDP","165","3478","41217","41217  >  3478 Len=123"
"27","0.439948355","172.20.10.8","20.202.144.138","UDP","165","3478","41217","41217  >  3478 Len=123"
"28","0.461218264","172.20.10.8","20.202.144.138","UDP","184","3478","41217","41217  >  3478 Len=142"
"29","0.482588896","172.20.10.8","20.202.144.138","UDP","161","3478","41217","41217  >  3478 Len=119"
"30","0.498362713","172.20.10.8","20.202.144.138","UDP","161","3478","41217","41217  >  3478 Len=119"
"31","0.519857456","172.20.10.8","20.202.144.138","UDP","159","3478","41217","41217  >  3478 Len=117"
"32","0.542496732","172.20.10.8","20.202.144.138","UDP","151","3478","41217","41217  >  3478 Len=109"
"33","0.563037544","172.20.10.8","20.202.144.138","UDP","147","3478","41217","41217  >  3478 Len=105"
"34","0.578522876","172.20.10.8","20.202.144.138","UDP","161","3478","41217","41217  >  3478 Len=119"
"35","0.599687005","172.20.10.8","20.202.144.138","UDP","163","3478","41217","41217  >  3478 Len=121"
"36","0.621637553","172.20.10.8","20.202.144.138","UDP","177","3478","41217","41217  >  3478 Len=135"
"37","0.643018868","172.20.10.8","20.202.144.138","UDP","157","3478","41217","41217  >  3478 Len=115"
