"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.40","20.202.144.62","UDP","152","3478","10704","10704  >  3478 Len=110"
"2","0.015353699","192.168.0.40","20.202.144.62","UDP","154","3478","10704","10704  >  3478 Len=112"
"3","0.023676943","192.168.0.28","224.0.0.251","MDNS","138","5353","5353","Standard query 0x0000 ANY iPhone-de-Jules.local, ""QM"" question AAAA 2a02:2788:7d4:2bf:18d0:f3ac:787c:8577 OPT"
"4","0.024670969","fe80::183f:d984:1af3:e32a","ff02::fb","MDNS","158","5353","5353","Standard query 0x0000 ANY iPhone-de-Jules.local, ""QM"" question AAAA 2a02:2788:7d4:2bf:18d0:f3ac:787c:8577 OPT"
"5","0.040938478","192.168.0.40","20.202.144.62","UDP","152","3478","10704","10704  >  3478 Len=110"
"6","0.061302507","192.168.0.40","20.202.144.62","UDP","145","3478","10704","10704  >  3478 Len=103"
"7","0.067425348","192.168.0.40","20.202.144.141","STUN","146","3478","4788","Binding Request user: cNTo:jPQQ"
"8","0.077310838","192.168.0.40","20.202.144.62","UDP","141","3478","10704","10704  >  3478 Len=99"
"9","0.098768709","192.168.0.40","20.202.144.62","UDP","135","3478","10704","10704  >  3478 Len=93"
"10","0.109531804","20.202.144.141","192.168.0.40","STUN","146","4788","3478","Binding Request user: jPQQ:cNTo"
"11","0.118427651","192.168.0.40","20.202.144.141","STUN","122","3478","4788","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.149.127:3481"
"12","0.119483752","192.168.0.40","20.202.144.62","UDP","127","3478","10704","10704  >  3478 Len=85"
"13","0.134750840","192.168.0.40","20.202.144.62","UDP","130","3478","10704","10704  >  3478 Len=88"
"14","0.159105905","20.202.144.141","192.168.0.40","STUN","122","4788","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.141:3481"
"15","0.160252847","192.168.0.40","20.202.144.62","UDP","131","3478","10704","10704  >  3478 Len=89"
"16","0.180756511","192.168.0.40","20.202.144.62","UDP","147","3478","10704","10704  >  3478 Len=105"
"17","0.196018957","192.168.0.40","20.202.144.62","UDP","164","3478","10704","10704  >  3478 Len=122"
"18","0.216501352","192.168.0.40","20.202.144.62","UDP","178","3478","10704","10704  >  3478 Len=136"
"19","0.242288564","192.168.0.40","20.202.144.62","UDP","182","3478","10704","10704  >  3478 Len=140"
"20","0.250287259","20.202.144.141","192.168.0.40","RTCP","86","4788","3478","Receiver Report   ([Malformed Packet]"
"21","0.250860297","fe80::183f:d984:1af3:e32a","ff02::16","ICMPv6","90","","","Multicast Listener Report Message v2"
"22","0.257560788","192.168.0.40","20.202.144.62","UDP","190","3478","10704","10704  >  3478 Len=148"
"23","0.258258656","20.202.144.141","192.168.0.40","RTCP","1262","4788","3478","Receiver Report   ([Malformed Packet]"
"24","0.277955463","192.168.0.40","20.202.144.62","UDP","178","3478","10704","10704  >  3478 Len=136"
"25","0.297447714","192.168.0.28","224.0.0.251","MDNS","180","5353","5353","Standard query response 0x0000 AAAA, cache flush fe80::183f:d984:1af3:e32a AAAA, cache flush 2a02:2788:7d4:2bf:18d0:f3ac:787c:8577 NSEC, cache flush iPhone-de-Jules.local OPT"
"26","0.298428290","192.168.0.40","20.202.144.62","UDP","165","3478","10704","10704  >  3478 Len=123"
"27","0.298588488","fe80::183f:d984:1af3:e32a","ff02::fb","MDNS","200","5353","5353","Standard query response 0x0000 AAAA, cache flush fe80::183f:d984:1af3:e32a AAAA, cache flush 2a02:2788:7d4:2bf:18d0:f3ac:787c:8577 NSEC, cache flush iPhone-de-Jules.local OPT"
"28","0.305602292","fe80::e237:17ff:feab:2034","ff02::1:ff7e:bd16","ICMPv6","86","","","Neighbor Solicitation for 2a02:2788:7d4:2bf:4dec:99aa:227e:bd16 from e0:37:17:ab:20:34"
"29","0.319009537","192.168.0.40","20.202.144.62","UDP","169","3478","10704","10704  >  3478 Len=127"
"30","0.339552888","192.168.0.40","20.202.144.62","UDP","180","3478","10704","10704  >  3478 Len=138"
"31","0.359899654","192.168.0.40","20.202.144.62","UDP","180","3478","10704","10704  >  3478 Len=138"
"32","0.375160665","192.168.0.40","20.202.144.62","UDP","180","3478","10704","10704  >  3478 Len=138"
"33","0.401113427","192.168.0.40","20.202.144.62","UDP","164","3478","10704","10704  >  3478 Len=122"
"34","0.416586347","192.168.0.40","20.202.144.62","UDP","164","3478","10704","10704  >  3478 Len=122"
"35","0.423390603","192.168.0.40","20.202.144.62","STUN","146","3478","10704","Binding Request user: Yxd9:uXX+"
"36","0.424480469","20.202.144.62","192.168.0.40","STUN","146","10704","3478","Binding Request user: uXX+:Yxd9"
"37","0.437097110","192.168.0.40","20.202.144.62","UDP","162","3478","10704","10704  >  3478 Len=120"
"38","0.457632297","192.168.0.40","20.202.144.62","UDP","160","3478","10704","10704  >  3478 Len=118"
"39","0.474490366","192.168.0.40","20.202.144.62","STUN","122","3478","10704","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.149.137:3480"
"40","0.479501589","192.168.0.40","20.202.144.62","UDP","164","3478","10704","10704  >  3478 Len=122"
"41","0.494275904","20.202.144.62","192.168.0.40","RTCP","146","10704","3478","Payload-specific Feedback   ALFB  "
"42","0.500510678","192.168.0.40","20.202.144.62","UDP","153","3478","10704","10704  >  3478 Len=111"
"43","0.516339582","192.168.0.40","20.202.144.62","UDP","172","3478","10704","10704  >  3478 Len=130"
"44","0.529360237","20.202.144.62","192.168.0.40","STUN","122","10704","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.62:3480"
"45","0.542861685","192.168.0.40","20.202.144.62","UDP","179","3478","10704","10704  >  3478 Len=137"
"46","0.557751259","192.168.0.40","20.202.144.62","UDP","168","3478","10704","10704  >  3478 Len=126"
"47","0.578149546","192.168.0.40","20.202.144.62","UDP","145","3478","10704","10704  >  3478 Len=103"
"48","0.598479906","192.168.0.40","20.202.144.62","UDP","158","3478","10704","10704  >  3478 Len=116"
"49","0.619558363","192.168.0.40","20.202.144.62","UDP","155","3478","10704","10704  >  3478 Len=113"
"50","0.640867112","192.168.0.40","20.202.144.62","UDP","159","3478","10704","10704  >  3478 Len=117"
"51","0.656089796","192.168.0.40","20.202.144.62","UDP","157","3478","10704","10704  >  3478 Len=115"
"52","0.682239109","192.168.0.40","20.202.144.62","UDP","165","3478","10704","10704  >  3478 Len=123"
"53","0.702665400","192.168.0.40","20.202.144.62","UDP","167","3478","10704","10704  >  3478 Len=125"
"54","0.718250873","192.168.0.40","20.202.144.62","UDP","174","3478","10704","10704  >  3478 Len=132"
"55","0.738561484","192.168.0.40","20.202.144.62","UDP","181","3478","10704","10704  >  3478 Len=139"
"56","0.764442140","192.168.0.40","20.202.144.62","UDP","179","3478","10704","10704  >  3478 Len=137"
"57","0.779647639","192.168.0.40","20.202.144.62","UDP","166","3478","10704","10704  >  3478 Len=124"
"58","0.800742405","192.168.0.40","20.202.144.62","UDP","175","3478","10704","10704  >  3478 Len=133"
"59","0.821948166","192.168.0.40","20.202.144.62","UDP","179","3478","10704","10704  >  3478 Len=137"
