"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.50","20.202.144.136","UDP","151","3478","24866","24866  >  3478 Len=109"
"2","0.020067673","192.168.0.50","20.202.144.136","UDP","155","3478","24866","24866  >  3478 Len=113"
"3","0.040246834","192.168.0.50","20.202.144.136","UDP","157","3478","24866","24866  >  3478 Len=115"
"4","0.061554405","192.168.0.50","20.202.144.136","UDP","140","3478","24866","24866  >  3478 Len=98"
"5","0.076306417","192.168.0.50","20.202.144.136","UDP","143","3478","24866","24866  >  3478 Len=101"
"6","0.097343514","192.168.0.50","20.202.144.136","UDP","134","3478","24866","24866  >  3478 Len=92"
"7","0.122765264","192.168.0.50","20.202.144.136","UDP","137","3478","24866","24866  >  3478 Len=95"
"8","0.137875667","192.168.0.50","20.202.144.136","UDP","135","3478","24866","24866  >  3478 Len=93"
"9","0.158191921","192.168.0.50","20.202.144.136","UDP","136","3478","24866","24866  >  3478 Len=94"
"10","0.178617773","192.168.0.50","20.202.144.136","UDP","141","3478","24866","24866  >  3478 Len=99"
"11","0.198972821","192.168.0.50","20.202.144.136","UDP","137","3478","24866","24866  >  3478 Len=95"
"12","0.214856557","192.168.0.50","20.202.144.67","STUN","146","3478","25822","Binding Request user: dMHu:QtKP"
"13","0.219443157","192.168.0.50","20.202.144.136","UDP","131","3478","24866","24866  >  3478 Len=89"
"14","0.240040701","192.168.0.50","20.202.144.136","UDP","136","3478","24866","24866  >  3478 Len=94"
"15","0.261336197","192.168.0.50","20.202.144.136","UDP","140","3478","24866","24866  >  3478 Len=98"
"16","0.277414189","192.168.0.50","20.202.144.136","UDP","150","3478","24866","24866  >  3478 Len=108"
"17","0.298350538","192.168.0.50","20.202.144.136","UDP","156","3478","24866","24866  >  3478 Len=114"
"18","0.313131764","20.202.144.67","192.168.0.50","STUN","122","25822","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.67:3481"
"19","0.319231422","192.168.0.50","20.202.144.136","UDP","145","3478","24866","24866  >  3478 Len=103"
"20","0.339734391","192.168.0.50","20.202.144.136","UDP","170","3478","24866","24866  >  3478 Len=128"
"21","0.361852185","192.168.0.50","20.202.144.136","UDP","148","3478","24866","24866  >  3478 Len=106"
"22","0.383030196","192.168.0.50","20.202.144.136","UDP","178","3478","24866","24866  >  3478 Len=136"
"23","0.398793785","192.168.0.50","20.202.144.136","UDP","174","3478","24866","24866  >  3478 Len=132"
"24","0.420048917","192.168.0.50","20.202.144.136","UDP","174","3478","24866","24866  >  3478 Len=132"
"25","0.441113825","192.168.0.50","20.202.144.136","UDP","159","3478","24866","24866  >  3478 Len=117"
"26","0.463305640","192.168.0.50","20.202.144.136","UDP","168","3478","24866","24866  >  3478 Len=126"
"27","0.479594688","192.168.0.50","20.202.144.136","UDP","160","3478","24866","24866  >  3478 Len=118"
"28","0.500771297","192.168.0.50","20.202.144.136","UDP","175","3478","24866","24866  >  3478 Len=133"
"29","0.521854225","192.168.0.50","20.202.144.136","UDP","192","3478","24866","24866  >  3478 Len=150"
"30","0.543876713","192.168.0.50","20.202.144.136","UDP","175","3478","24866","24866  >  3478 Len=133"
"31","0.560069829","192.168.0.50","20.202.144.136","UDP","175","3478","24866","24866  >  3478 Len=133"
"32","0.560071601","20.202.144.136","192.168.0.50","RTCP","146","24866","3478","Payload-specific Feedback   ALFB  "
"33","0.581214319","192.168.0.50","20.202.144.136","UDP","183","3478","24866","24866  >  3478 Len=141"
"34","0.597056969","192.168.0.50","20.202.144.136","UDP","164","3478","24866","24866  >  3478 Len=122"
"35","0.617764736","192.168.0.50","20.202.144.136","UDP","161","3478","24866","24866  >  3478 Len=119"
"36","0.619577673","192.168.0.50","20.202.144.67","RTCP","90","3478","25822","Sender Report   "
"37","0.619629867","192.168.0.50","20.202.144.67","RTCP","166","3478","25822","Receiver Report   ([Malformed Packet]"
"38","0.638235622","192.168.0.50","20.202.144.136","UDP","168","3478","24866","24866  >  3478 Len=126"
"39","0.658543654","192.168.0.50","20.202.144.136","UDP","175","3478","24866","24866  >  3478 Len=133"
"40","0.684702945","192.168.0.50","20.202.144.136","UDP","161","3478","24866","24866  >  3478 Len=119"
"41","0.699988137","192.168.0.50","20.202.144.136","UDP","169","3478","24866","24866  >  3478 Len=127"
"42","0.720680712","192.168.0.50","20.202.144.136","UDP","181","3478","24866","24866  >  3478 Len=139"
"43","0.740705930","192.168.0.50","20.202.144.136","UDP","171","3478","24866","24866  >  3478 Len=129"
"44","0.755864130","192.168.0.50","20.202.144.136","UDP","172","3478","24866","24866  >  3478 Len=130"
"45","0.780824190","192.168.0.50","20.202.144.136","UDP","162","3478","24866","24866  >  3478 Len=120"
"46","0.783637055","192.168.0.50","20.202.144.136","RTCP","146","3478","24866","Payload-specific Feedback   ALFB  "
"47","0.802589611","192.168.0.50","20.202.144.136","UDP","145","3478","24866","24866  >  3478 Len=103"
"48","0.818038782","192.168.0.50","20.202.144.136","UDP","157","3478","24866","24866  >  3478 Len=115"
"49","0.834756723","192.168.0.50","20.202.144.136","STUN","146","3478","24866","Binding Request user: lr7t:z6PQ"
"50","0.834885430","192.168.0.50","20.202.144.136","RTCP","190","3478","24866","Sender Report   ([Malformed Packet]"
"51","0.839142397","192.168.0.50","20.202.144.136","UDP","179","3478","24866","24866  >  3478 Len=137"
"52","0.861065827","192.168.0.50","20.202.144.136","UDP","182","3478","24866","24866  >  3478 Len=140"
"53","0.881861393","192.168.0.50","20.202.144.136","UDP","181","3478","24866","24866  >  3478 Len=139"
"54","0.897388900","192.168.0.50","20.202.144.136","UDP","169","3478","24866","24866  >  3478 Len=127"
"55","0.922887631","192.168.0.50","20.202.144.136","UDP","176","3478","24866","24866  >  3478 Len=134"
"56","0.935953744","20.202.144.67","192.168.0.50","RTCP","90","25822","3478","Sender Report   "
"57","0.940295430","20.202.144.67","192.168.0.50","RTCP","166","25822","3478","Receiver Report   ([Malformed Packet]"
"58","0.944073703","192.168.0.50","20.202.144.136","UDP","163","3478","24866","24866  >  3478 Len=121"
"59","0.947794221","20.202.144.136","192.168.0.50","STUN","122","24866","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.136:3480"
"60","0.960040467","192.168.0.50","20.202.144.136","UDP","161","3478","24866","24866  >  3478 Len=119"
"61","0.981406631","192.168.0.50","20.202.144.136","UDP","152","3478","24866","24866  >  3478 Len=110"
"62","1.002326190","192.168.0.50","20.202.144.136","UDP","165","3478","24866","24866  >  3478 Len=123"
"63","1.018557360","192.168.0.50","20.202.144.136","UDP","176","3478","24866","24866  >  3478 Len=134"
"64","1.039199982","192.168.0.50","20.202.144.136","UDP","178","3478","24866","24866  >  3478 Len=136"
"65","1.064901296","192.168.0.50","20.202.144.136","UDP","182","3478","24866","24866  >  3478 Len=140"
"66","1.080333190","192.168.0.50","20.202.144.136","UDP","172","3478","24866","24866  >  3478 Len=130"
"67","1.102012208","192.168.0.50","20.202.144.136","UDP","177","3478","24866","24866  >  3478 Len=135"
"68","1.122303315","192.168.0.50","20.202.144.136","UDP","164","3478","24866","24866  >  3478 Len=122"
"69","1.143562683","192.168.0.50","20.202.144.136","UDP","168","3478","24866","24866  >  3478 Len=126"
"70","1.159757161","192.168.0.50","20.202.144.136","UDP","150","3478","24866","24866  >  3478 Len=108"
"71","1.181362011","192.168.0.50","20.202.144.136","UDP","157","3478","24866","24866  >  3478 Len=115"
"72","1.202924530","192.168.0.50","20.202.144.136","UDP","177","3478","24866","24866  >  3478 Len=135"
"73","1.224067819","192.168.0.50","20.202.144.136","UDP","176","3478","24866","24866  >  3478 Len=134"
"74","1.239990735","192.168.0.50","20.202.144.136","UDP","170","3478","24866","24866  >  3478 Len=128"
"75","1.261807333","192.168.0.50","20.202.144.136","UDP","169","3478","24866","24866  >  3478 Len=127"
