"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.185.212.106","192.168.0.50","TLSv1.2","832","","","Application Data"
"2","0.016449426","192.168.0.50","20.185.212.106","TCP","2936","","","47676  >  443 [PSH, ACK] Seq=1 Ack=777 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"3","0.016517997","192.168.0.50","20.185.212.106","TLSv1.2","958","","","Application Data"
"4","0.115040027","20.185.212.106","192.168.0.50","TCP","62","","","443  >  47676 [ACK] Seq=777 Ack=2881 Win=2053 Len=0"
"5","0.167840486","20.185.212.106","192.168.0.50","TCP","62","","","443  >  47676 [ACK] Seq=777 Ack=3783 Win=2049 Len=0"
"6","0.922325953","20.185.212.106","192.168.0.50","TLSv1.2","878","","","Application Data"
"7","0.940117020","192.168.0.50","20.185.212.106","TCP","2936","","","47676  >  443 [PSH, ACK] Seq=3783 Ack=1599 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"8","0.942567085","192.168.0.50","20.185.212.106","TLSv1.2","958","","","Application Data"
"9","1.027601277","20.185.212.106","192.168.0.50","TCP","878","","","[TCP Spurious Retransmission] 443  >  47676 [PSH, ACK] Seq=777 Ack=3783 Win=2049 Len=822"
"10","1.027614785","192.168.0.50","20.185.212.106","TCP","68","","","[TCP Dup ACK 7#1] 47676  >  443 [ACK] Seq=7565 Ack=1599 Win=501 Len=0 SLE=777 SRE=1599"
"11","1.043298078","20.185.212.106","192.168.0.50","TCP","62","","","443  >  47676 [ACK] Seq=1599 Ack=6663 Win=2053 Len=0"
"12","1.073411527","20.185.212.106","192.168.0.50","TLSv1.2","975","","","Application Data"
"13","1.073444529","192.168.0.50","20.185.212.106","TCP","56","","","47676  >  443 [ACK] Seq=7565 Ack=2518 Win=494 Len=0"
"14","1.093218450","127.0.0.1","127.0.0.53","DNS","104","53","56203","Standard query 0x8940 A browser.pipe.aria.microsoft.com OPT"
"15","1.093234603","127.0.0.1","127.0.0.53","DNS","104","53","56203","Standard query 0x62bb AAAA browser.pipe.aria.microsoft.com OPT"
"16","1.093728919","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","2a02:2788:fff0:7::3","DNS","124","53","47391","Standard query 0xa288 A browser.pipe.aria.microsoft.com OPT"
"17","1.093922629","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","2a02:2788:fff0:7::3","DNS","124","53","58635","Standard query 0x9328 AAAA browser.pipe.aria.microsoft.com OPT"
"18","1.101626794","192.168.0.50","20.185.212.106","TCP","2936","","","47676  >  443 [PSH, ACK] Seq=7565 Ack=2518 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"19","1.104052030","192.168.0.50","20.185.212.106","TLSv1.2","958","","","Application Data"
"20","1.111818872","2a02:2788:fff0:7::3","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","DNS","552","47391","53","Standard query response 0xa288 A browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdwus14.westus.cloudapp.azure.com A 20.189.173.15 NS ns4-02.azure-dns.info NS ns1-02.azure-dns.com NS ns3-02.azure-dns.org NS ns2-02.azure-dns.net AAAA 2603:1061:0:700::2 AAAA 2620:1ec:8ec:700::2 AAAA 2a01:111:4000:700::2 AAAA 2620:1ec:bda:700::2 A 13.107.236.2 A 150.171.21.2 A 204.14.183.2 A 208.84.5.2 OPT"
"21","1.112936419","127.0.0.53","127.0.0.1","DNS","532","56203","53","Standard query response 0x8940 A browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdwus14.westus.cloudapp.azure.com A 20.189.173.15 NS ns4-02.azure-dns.info NS ns1-02.azure-dns.com NS ns3-02.azure-dns.org NS ns2-02.azure-dns.net AAAA 2603:1061:0:700::2 AAAA 2620:1ec:8ec:700::2 AAAA 2a01:111:4000:700::2 AAAA 2620:1ec:bda:700::2 A 13.107.236.2 A 150.171.21.2 A 204.14.183.2 A 208.84.5.2 OPT"
"22","1.113046478","2a02:2788:fff0:7::3","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","DNS","289","58635","53","Standard query response 0x9328 AAAA browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdwus14.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"23","1.113552957","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","2a02:2788:fff0:7::3","DNS","135","53","35295","Standard query 0x1549 AAAA onedscolprdwus14.westus.cloudapp.azure.com OPT"
"24","1.125135623","2a02:2788:fff0:7::3","2a02:2788:7d4:2bf:b910:4298:f96b:7e8c","DNS","205","35295","53","Standard query response 0x1549 AAAA onedscolprdwus14.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"25","1.125520722","127.0.0.53","127.0.0.1","DNS","269","56203","53","Standard query response 0x62bb AAAA browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdwus14.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"26","1.125839031","192.168.0.50","20.189.173.15","TCP","76","","","52970  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3101713196 TSecr=0 WS=128"
"27","1.209134376","20.185.212.106","192.168.0.50","TCP","62","","","443  >  47676 [ACK] Seq=2518 Ack=10445 Win=2053 Len=0"
"28","1.262243721","20.185.212.106","192.168.0.50","TCP","62","","","443  >  47676 [ACK] Seq=2518 Ack=11347 Win=2049 Len=0"
"29","1.296714999","20.189.173.15","192.168.0.50","TCP","68","","","443  >  52970 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"30","1.296738028","192.168.0.50","20.189.173.15","TCP","56","","","52970  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"31","1.296921632","192.168.0.50","20.189.173.15","TLSv1.2","573","","","Client Hello"
"32","1.641906488","20.189.173.15","192.168.0.50","TLSv1.2","6351","","","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"33","1.641929458","192.168.0.50","20.189.173.15","TCP","56","","","52970  >  443 [ACK] Seq=518 Ack=6296 Win=57984 Len=0"
"34","1.645604823","192.168.0.50","20.189.173.15","TLSv1.2","214","","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
