"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.185.212.106","172.20.10.8","TLSv1.2","842","","","Application Data"
"2","0.017135035","172.20.10.8","20.185.212.106","TLSv1.2","3848","","","Application Data"
"3","0.081337512","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=777 Ack=1399 Win=149 Len=0 TSval=3874891066 TSecr=3020895457"
"4","0.088826567","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=777 Ack=2797 Win=155 Len=0 TSval=3874891069 TSecr=3020895457"
"5","0.093295439","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=777 Ack=3783 Win=160 Len=0 TSval=3874891076 TSecr=3020895457"
"6","0.192796387","2a02:2788:7d4:2bf:532a:21de:ffdb:d39f","2603:1020:600::21c","TLSv1.2","147","","","Application Data, Application Data"
"7","1.221291378","fe80::a359:e5d7:b650:2be6","fe80::e06d:17ff:fe99:5b64","ICMPv6","86","","","Neighbor Solicitation for fe80::e06d:17ff:fe99:5b64 from 98:3b:8f:c3:1a:d6"
"8","1.227117812","fe80::e06d:17ff:fe99:5b64","fe80::a359:e5d7:b650:2be6","ICMPv6","78","","","Neighbor Advertisement fe80::e06d:17ff:fe99:5b64 (rtr, sol)"
"9","1.227118753","20.185.212.106","172.20.10.8","TLSv1.2","889","","","Application Data"
"10","1.268809606","172.20.10.8","20.185.212.106","TCP","66","","","36630  >  443 [ACK] Seq=3783 Ack=1600 Win=501 Len=0 TSval=3020896709 TSecr=3874892015"
"11","1.291759434","172.20.10.8","20.185.212.106","TLSv1.2","3848","","","Application Data"
"12","1.336621443","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1600 Ack=5181 Win=166 Len=0 TSval=3874892321 TSecr=3020896732"
"13","1.341103297","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1600 Ack=6579 Win=171 Len=0 TSval=3874892321 TSecr=3020896732"
"14","1.341103429","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1600 Ack=7565 Win=177 Len=0 TSval=3874892323 TSecr=3020896732"
"15","1.535563003","20.185.212.106","172.20.10.8","TLSv1.2","986","","","Application Data"
"16","1.535601932","172.20.10.8","20.185.212.106","TCP","66","","","36630  >  443 [ACK] Seq=7565 Ack=2520 Win=494 Len=0 TSval=3020896975 TSecr=3874892415"
"17","1.554339479","172.20.10.8","20.185.212.106","TLSv1.2","3848","","","Application Data"
"18","1.608449647","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=2520 Ack=8963 Win=182 Len=0 TSval=3874892592 TSecr=3020896994"
"19","1.608450116","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=2520 Ack=10361 Win=188 Len=0 TSval=3874892593 TSecr=3020896994"
"20","1.608450235","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=2520 Ack=11347 Win=193 Len=0 TSval=3874892593 TSecr=3020896994"
