"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.185.212.106","192.168.0.40","TLSv1.2","830","","","Application Data"
"2","0.003111876","192.168.0.40","20.185.212.106","TCP","54","","","41686  >  443 [FIN, ACK] Seq=1 Ack=777 Win=501 Len=0"
"3","0.011213768","192.168.0.40","9.9.9.9","DNS","113","53","44481","Standard query 0xa497 A azeus1-client-s.gateway.messenger.live.com OPT"
"4","0.011513550","192.168.0.40","9.9.9.9","DNS","113","53","54791","Standard query 0x348b AAAA azeus1-client-s.gateway.messenger.live.com OPT"
"5","0.017997655","192.168.0.14","239.255.255.250","SSDP","353","1900","60000","NOTIFY * HTTP/1.1 "
"6","0.022060170","192.168.0.14","239.255.255.250","SSDP","362","1900","60000","NOTIFY * HTTP/1.1 "
"7","0.022061573","192.168.0.14","239.255.255.250","SSDP","399","1900","60000","NOTIFY * HTTP/1.1 "
"8","0.022310996","192.168.0.14","239.255.255.250","SSDP","401","1900","60000","NOTIFY * HTTP/1.1 "
"9","0.026911887","9.9.9.9","192.168.0.40","DNS","207","44481","53","Standard query response 0xa497 A azeus1-client-s.gateway.messenger.live.com CNAME azeus1-client-s.msnmessenger.msn.com.akadns.net CNAME ip.azeus1-client-s.msnmessenger.msn.com.akadns.net A 20.185.212.106 OPT"
"10","0.030300965","9.9.9.9","192.168.0.40","DNS","254","54791","53","Standard query response 0x348b AAAA azeus1-client-s.gateway.messenger.live.com CNAME azeus1-client-s.msnmessenger.msn.com.akadns.net CNAME ip.azeus1-client-s.msnmessenger.msn.com.akadns.net SOA internal.akadns.net OPT"
"11","0.030770290","192.168.0.40","9.9.9.9","DNS","121","53","37305","Standard query 0x14bb AAAA ip.azeus1-client-s.msnmessenger.msn.com.akadns.net OPT"
"12","0.046237438","9.9.9.9","192.168.0.40","DNS","187","37305","53","Standard query response 0x14bb AAAA ip.azeus1-client-s.msnmessenger.msn.com.akadns.net SOA internal.akadns.net OPT"
"13","0.046961549","192.168.0.40","20.185.212.106","TCP","74","","","54768  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=715384292 TSecr=0 WS=128"
"14","0.082290178","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.26? Tell 192.168.0.10"
"15","0.095440433","20.185.212.106","192.168.0.40","TCP","60","","","443  >  41686 [FIN, ACK] Seq=777 Ack=2 Win=2049 Len=0"
"16","0.095501268","192.168.0.40","20.185.212.106","TCP","54","","","41686  >  443 [ACK] Seq=2 Ack=778 Win=501 Len=0"
