"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","0a:54:2c:9b:f6:69","Broadcast","XID","60","","","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"2","0.238744539","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.26? Tell 192.168.0.10"
"3","0.501158638","192.168.0.40","20.185.212.106","TCP","1494","","","41576  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=1440 [TCP segment of a reassembled PDU]"
"4","0.501172633","192.168.0.40","20.185.212.106","TCP","1494","","","41576  >  443 [PSH, ACK] Seq=1441 Ack=1 Win=501 Len=1440 [TCP segment of a reassembled PDU]"
"5","0.501295754","192.168.0.40","20.185.212.106","TLSv1.2","1142","","","Application Data, Application Data"
"6","0.600844345","20.185.212.106","192.168.0.40","TCP","60","","","443  >  41576 [ACK] Seq=1 Ack=2881 Win=2053 Len=0"
"7","0.615982777","20.185.212.106","192.168.0.40","TLSv1.2","551","","","Application Data"
"8","0.616029207","192.168.0.40","20.185.212.106","TCP","54","","","41576  >  443 [ACK] Seq=3969 Ack=498 Win=501 Len=0"
"9","0.626437209","192.168.0.28","224.0.0.251","MDNS","209","5353","5353","Standard query 0x0000 ANY iPhone de Jules._rdlink._tcp.local, ""QU"" question ANY iPhone-de-Jules.local, ""QU"" question SRV 0 0 49153 iPhone-de-Jules.local AAAA fe80::183f:d984:1af3:e32a A 192.168.0.28 OPT"
"10","0.628250767","fe80::183f:d984:1af3:e32a","ff02::fb","MDNS","229","5353","5353","Standard query 0x0000 ANY iPhone de Jules._rdlink._tcp.local, ""QU"" question ANY iPhone-de-Jules.local, ""QU"" question SRV 0 0 49153 iPhone-de-Jules.local AAAA fe80::183f:d984:1af3:e32a A 192.168.0.28 OPT"
"11","0.638397490","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.28? Tell 192.168.0.10"
"12","0.687017565","192.168.0.40","20.185.212.106","TCP","1494","","","41576  >  443 [ACK] Seq=3969 Ack=498 Win=501 Len=1440 [TCP segment of a reassembled PDU]"
"13","0.687044828","192.168.0.40","20.185.212.106","TCP","1494","","","41576  >  443 [PSH, ACK] Seq=5409 Ack=498 Win=501 Len=1440 [TCP segment of a reassembled PDU]"
"14","0.687155451","192.168.0.40","20.185.212.106","TLSv1.2","1008","","","Application Data, Application Data"
"15","0.726228946","fe80::e237:17ff:feab:2034","ff02::1:ffc6:951f","ICMPv6","86","","","Neighbor Solicitation for 2a02:2788:7d4:2bf:1d06:705e:bcc6:951f from e0:37:17:ab:20:34"
"16","0.783555002","20.185.212.106","192.168.0.40","TCP","60","","","443  >  41576 [ACK] Seq=498 Ack=6849 Win=2053 Len=0"
"17","0.790710107","20.185.212.106","192.168.0.40","TLSv1.2","375","","","Application Data"
"18","0.790795855","192.168.0.40","20.185.212.106","TCP","54","","","41576  >  443 [ACK] Seq=7803 Ack=819 Win=501 Len=0"
"19","0.877258474","192.168.0.28","224.0.0.251","MDNS","209","5353","5353","Standard query 0x0000 ANY iPhone de Jules._rdlink._tcp.local, ""QM"" question ANY iPhone-de-Jules.local, ""QM"" question SRV 0 0 49153 iPhone-de-Jules.local AAAA fe80::183f:d984:1af3:e32a A 192.168.0.28 OPT"
