"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","172.20.10.8","20.185.212.106","TLSv1.2","3867","","","Application Data"
"2","0.003019237","172.20.10.8","20.185.212.106","TLSv1.2","233","","","Application Data"
"3","0.065315224","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1 Ack=1399 Win=199 Len=0 TSval=3874922394 TSecr=3020926788"
"4","0.075781021","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1 Ack=2797 Win=204 Len=0 TSval=3874922404 TSecr=3020926788"
"5","0.075781368","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1 Ack=3802 Win=210 Len=0 TSval=3874922404 TSecr=3020926788"
"6","0.075781474","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=1 Ack=3969 Win=215 Len=0 TSval=3874922404 TSecr=3020926791"
"7","0.195312844","20.185.212.106","172.20.10.8","TLSv1.2","563","","","Application Data"
"8","0.195329444","172.20.10.8","20.185.212.106","TCP","66","","","36630  >  443 [ACK] Seq=3969 Ack=498 Win=498 Len=0 TSval=3020926983 TSecr=3874922502"
"9","0.929468538","172.20.10.8","20.185.212.106","TCP","2862","","","36630  >  443 [PSH, ACK] Seq=3969 Ack=498 Win=501 Len=2796 TSval=3020927717 TSecr=3874922502 [TCP segment of a reassembled PDU]"
"10","0.933128727","172.20.10.8","20.185.212.106","TLSv1.2","1333","","","Application Data, Application Data"
"11","1.002278106","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=498 Ack=5367 Win=220 Len=0 TSval=3874923326 TSecr=3020927717"
"12","1.024489089","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=498 Ack=6765 Win=226 Len=0 TSval=3874923335 TSecr=3020927717"
"13","1.024489414","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=498 Ack=8032 Win=231 Len=0 TSval=3874923337 TSecr=3020927721"
"14","1.103090006","20.185.212.106","172.20.10.8","TLSv1.2","893","","","Application Data"
"15","1.107836385","20.185.212.106","172.20.10.8","TLSv1.2","563","","","Application Data"
"16","1.107861944","172.20.10.8","20.185.212.106","TCP","66","","","36630  >  443 [ACK] Seq=8032 Ack=995 Win=498 Len=0 TSval=3020927896 TSecr=3874923438"
"17","1.130556063","172.20.10.8","20.185.212.106","TCP","2862","","","36630  >  443 [PSH, ACK] Seq=8032 Ack=995 Win=501 Len=2796 TSval=3020927918 TSecr=3874923438 [TCP segment of a reassembled PDU]"
"18","1.131984789","172.20.10.8","20.185.212.106","TLSv1.2","1052","","","Application Data"
"19","1.144867130","172.20.10.8","20.185.212.106","TCP","66","","","36610  >  443 [ACK] Seq=1 Ack=828 Win=501 Len=0 TSval=3020927933 TSecr=3874923432"
"20","1.176477831","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=995 Ack=9430 Win=237 Len=0 TSval=3874923507 TSecr=3020927918"
"21","1.176478271","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=995 Ack=10828 Win=242 Len=0 TSval=3874923507 TSecr=3020927918"
"22","1.185688846","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36630 [ACK] Seq=995 Ack=11814 Win=248 Len=0 TSval=3874923516 TSecr=3020927920"
"23","1.202795599","172.20.10.8","20.185.212.106","TCP","2862","","","36610  >  443 [PSH, ACK] Seq=1 Ack=828 Win=501 Len=2796 TSval=3020927991 TSecr=3874923432 [TCP segment of a reassembled PDU]"
"24","1.204120047","172.20.10.8","20.185.212.106","TLSv1.2","1212","","","Application Data, Application Data"
"25","1.240274134","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=828 Ack=1399 Win=160 Len=0 TSval=3874923571 TSecr=3020927991"
"26","1.245777880","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=828 Ack=2797 Win=166 Len=0 TSval=3874923572 TSecr=3020927991"
"27","1.252146535","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=828 Ack=3943 Win=171 Len=0 TSval=3874923580 TSecr=3020927992"
"28","1.421867416","20.185.212.106","172.20.10.8","TLSv1.2","997","","","Application Data"
"29","1.421867536","20.185.212.106","172.20.10.8","TLSv1.2","333","","","Application Data"
"30","1.421883553","172.20.10.8","20.185.212.106","TCP","66","","","36610  >  443 [ACK] Seq=3943 Ack=1095 Win=499 Len=0 TSval=3020928210 TSecr=3874923702"
"31","1.432658355","172.20.10.8","20.185.212.106","TCP","2862","","","36610  >  443 [PSH, ACK] Seq=3943 Ack=1095 Win=501 Len=2796 TSval=3020928220 TSecr=3874923702 [TCP segment of a reassembled PDU]"
"32","1.434039022","172.20.10.8","20.185.212.106","TLSv1.2","1052","","","Application Data"
"33","1.464855355","172.20.10.8","20.185.212.106","TCP","66","","","36630  >  443 [ACK] Seq=11814 Ack=1926 Win=501 Len=0 TSval=3020928253 TSecr=3874923702"
"34","1.473219337","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=1095 Ack=5341 Win=177 Len=0 TSval=3874923803 TSecr=3020928220"
"35","1.473219667","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=1095 Ack=6739 Win=182 Len=0 TSval=3874923803 TSecr=3020928220"
"36","1.473219770","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=1095 Ack=7725 Win=188 Len=0 TSval=3874923803 TSecr=3020928222"
"37","2.650064138","20.185.212.106","172.20.10.8","TLSv1.2","986","","","Application Data"
"38","2.667909982","172.20.10.8","20.185.212.106","TCP","2862","","","36610  >  443 [PSH, ACK] Seq=7725 Ack=2015 Win=501 Len=2796 TSval=3020929456 TSecr=3874924865 [TCP segment of a reassembled PDU]"
"39","2.669352879","172.20.10.8","20.185.212.106","TLSv1.2","1052","","","Application Data"
"40","2.728258319","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=2015 Ack=9123 Win=193 Len=0 TSval=3874925058 TSecr=3020929456"
"41","2.732453252","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=2015 Ack=10521 Win=199 Len=0 TSval=3874925062 TSecr=3020929456"
"42","2.738472574","20.185.212.106","172.20.10.8","TCP","66","","","443  >  36610 [ACK] Seq=2015 Ack=11507 Win=204 Len=0 TSval=3874925065 TSecr=3020929457"
