"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.50","20.185.212.106","TCP","2934","","","47676  >  443 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"2","0.002619630","192.168.0.50","20.185.212.106","TLSv1.2","1142","","","Application Data, Application Data"
"3","0.123405675","192.168.0.11","224.0.0.251","MDNS","152","5353","5353","Standard query 0x0004 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"4","0.124072776","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47676 [ACK] Seq=1 Ack=2881 Win=2053 Len=0"
"5","0.124172450","20.185.212.106","192.168.0.50","TLSv1.2","551","","","Application Data"
"6","0.124223463","192.168.0.50","20.185.212.106","TCP","54","","","47676  >  443 [ACK] Seq=3969 Ack=498 Win=498 Len=0"
"7","0.225691606","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.26? Tell 192.168.0.10"
"8","0.822084563","192.168.0.50","20.185.212.106","TCP","2934","","","47676  >  443 [PSH, ACK] Seq=3969 Ack=498 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"9","0.826055148","192.168.0.50","20.185.212.106","TLSv1.2","1228","","","Application Data, Application Data"
"10","0.925059271","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47676 [ACK] Seq=498 Ack=6849 Win=2053 Len=0"
"11","0.935884848","20.185.212.106","192.168.0.50","TLSv1.2","873","","","Application Data"
"12","0.941809470","192.168.0.50","20.185.212.106","TCP","2934","","","47704  >  443 [PSH, ACK] Seq=1 Ack=820 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"13","0.944165458","192.168.0.50","20.185.212.106","TLSv1.2","956","","","Application Data"
"14","0.970921701","20.185.212.106","192.168.0.50","TLSv1.2","551","","","Application Data"
"15","0.970950087","192.168.0.50","20.185.212.106","TCP","54","","","47676  >  443 [ACK] Seq=8023 Ack=995 Win=498 Len=0"
"16","1.039988339","192.168.0.50","20.185.212.106","TCP","2934","","","47676  >  443 [PSH, ACK] Seq=8023 Ack=995 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"17","1.042417842","192.168.0.50","20.185.212.106","TLSv1.2","1116","","","Application Data, Application Data"
"18","1.049473036","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=820 Ack=2881 Win=2053 Len=0"
"19","1.092158146","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=820 Ack=3783 Win=2049 Len=0"
"20","1.147717912","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47676 [ACK] Seq=995 Ack=10903 Win=2053 Len=0"
"21","1.194188107","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47676 [ACK] Seq=995 Ack=11965 Win=2048 Len=0"
"22","1.249522873","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.26? Tell 192.168.0.10"
"23","1.269350451","20.185.212.106","192.168.0.50","TLSv1.2","974","","","Application Data"
"24","1.276113656","192.168.0.50","20.185.212.106","TCP","2934","","","47704  >  443 [PSH, ACK] Seq=3783 Ack=1740 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"25","1.277778893","192.168.0.50","20.185.212.106","TLSv1.2","956","","","Application Data"
"26","1.320172949","20.185.212.106","192.168.0.50","TLSv1.2","321","","","Application Data"
"27","1.320274084","192.168.0.50","20.185.212.106","TCP","54","","","47676  >  443 [ACK] Seq=11965 Ack=1262 Win=499 Len=0"
"28","1.378163649","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=1740 Ack=6663 Win=2053 Len=0"
"29","1.420350991","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=1740 Ack=7565 Win=2049 Len=0"
"30","2.273637244","BelkinIn_73:0c:6b","Broadcast","ARP","60","","","Who has 192.168.0.26? Tell 192.168.0.10"
"31","2.888154014","20.185.212.106","192.168.0.50","TLSv1.2","976","","","Application Data"
"32","2.909469510","192.168.0.50","20.185.212.106","TCP","2934","","","47704  >  443 [PSH, ACK] Seq=7565 Ack=2662 Win=501 Len=2880 [TCP segment of a reassembled PDU]"
"33","2.911231839","192.168.0.50","20.185.212.106","TLSv1.2","956","","","Application Data"
"34","3.009726094","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=2662 Ack=10445 Win=2053 Len=0"
"35","3.061264239","20.185.212.106","192.168.0.50","TCP","60","","","443  >  47704 [ACK] Seq=2662 Ack=11347 Win=2049 Len=0"
