UDP, DNS, TCP, TLSv1.2, STUN, RTCP, ARP, MDNS, ICMPv6, STP, SSDP, HTTP, XID
0, 42, 223, 89, 0, 0, 0, 0, 3, 0, 0, 3, 0
0, 40, 188, 88, 0, 0, 0, 12, 1, 3, 0, 2, 0
0, 40, 108, 86, 0, 0, 0, 0, 0, 0, 0, 2, 1
292, 0, 17, 3, 15, 9, 0, 0, 2, 0, 0, 0, 0
229, 0, 0, 0, 12, 4, 1, 0, 9, 1, 0, 0, 0
263, 2, 14, 0, 10, 7, 0, 0, 0, 0, 0, 2, 0
118, 0, 3, 3, 14, 8, 0, 0, 0, 0, 0, 0, 0
105, 0, 0, 0, 16, 7, 0, 18, 4, 1, 0, 0, 0
129, 0, 4, 0, 11, 13, 1, 0, 0, 0, 0, 0, 0
0, 0, 11, 7, 0, 0, 0, 0, 2, 0, 0, 0, 0
0, 6, 29, 10, 0, 0, 2, 6, 0, 1, 4, 0, 0
0, 10, 15, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 29, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 25, 12, 0, 0, 2, 14, 4, 1, 0, 0, 1
0, 0, 19, 12, 0, 0, 3, 1, 0, 0, 0, 0, 0
706, 0, 0, 0, 24, 13, 0, 0, 0, 0, 0, 0, 0
782, 0, 0, 0, 8, 6, 0, 2, 2, 1, 0, 0, 0
801, 0, 0, 0, 10, 9, 1, 0, 0, 0, 0, 0, 0
255, 4, 16, 12, 11, 13, 1, 0, 0, 0, 0, 0, 0
399, 0, 0, 0, 12, 12, 1, 3, 2, 1, 0, 0, 0
522, 0, 0, 0, 14, 7, 6, 0, 0, 0, 0, 0, 0
