"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.202.144.138","172.20.10.8","UDP","191","41217","3478","3478  >  41217 Len=149"
"2","0.007128058","172.20.10.8","20.202.144.138","UDP","139","3478","41217","41217  >  3478 Len=97"
"3","0.010396141","20.202.144.138","172.20.10.8","UDP","790","41217","3478","3478  >  41217 Len=748"
"4","0.010396865","20.202.144.138","172.20.10.8","UDP","789","41217","3478","3478  >  41217 Len=747"
"5","0.010396889","20.202.144.138","172.20.10.8","UDP","730","41217","3478","3478  >  41217 Len=688"
"6","0.013310692","20.202.144.138","172.20.10.8","UDP","730","41217","3478","3478  >  41217 Len=688"
"7","0.013310786","20.202.144.138","172.20.10.8","UDP","730","41217","3478","3478  >  41217 Len=688"
"8","0.013310810","20.202.144.138","172.20.10.8","UDP","730","41217","3478","3478  >  41217 Len=688"
"9","0.014017710","20.202.144.138","172.20.10.8","UDP","806","41217","3478","3478  >  41217 Len=764"
"10","0.014017772","20.202.144.138","172.20.10.8","UDP","806","41217","3478","3478  >  41217 Len=764"
"11","0.014017795","20.202.144.138","172.20.10.8","UDP","172","41217","3478","3478  >  41217 Len=130"
"12","0.030849814","20.202.144.138","172.20.10.8","UDP","408","41217","3478","3478  >  41217 Len=366"
"13","0.033218299","172.20.10.8","20.202.144.138","UDP","136","3478","41217","41217  >  3478 Len=94"
"14","0.036127791","20.202.144.138","172.20.10.8","UDP","180","41217","3478","3478  >  41217 Len=138"
"15","0.047173379","20.202.144.138","172.20.10.8","UDP","171","41217","3478","3478  >  41217 Len=129"
"16","0.048123916","172.20.10.8","20.202.144.138","UDP","138","3478","41217","41217  >  3478 Len=96"
"17","0.061166214","20.202.144.138","172.20.10.8","UDP","975","41217","3478","3478  >  41217 Len=933"
"18","0.069951321","172.20.10.8","20.202.144.138","UDP","145","3478","41217","41217  >  3478 Len=103"
"19","0.074396206","172.20.10.8","20.202.144.138","RTCP","162","3478","41217","Payload-specific Feedback   ALFB  "
"20","0.081583247","20.202.144.138","172.20.10.8","UDP","974","41217","3478","3478  >  41217 Len=932"
"21","0.081583404","20.202.144.138","172.20.10.8","UDP","854","41217","3478","3478  >  41217 Len=812"
"22","0.081583427","20.202.144.138","172.20.10.8","UDP","854","41217","3478","3478  >  41217 Len=812"
"23","0.081583451","20.202.144.138","172.20.10.8","UDP","854","41217","3478","3478  >  41217 Len=812"
"24","0.081583474","20.202.144.138","172.20.10.8","UDP","853","41217","3478","3478  >  41217 Len=811"
"25","0.081583498","20.202.144.138","172.20.10.8","UDP","991","41217","3478","3478  >  41217 Len=949"
"26","0.081583521","20.202.144.138","172.20.10.8","UDP","991","41217","3478","3478  >  41217 Len=949"
"27","0.090407098","172.20.10.8","20.202.144.138","UDP","136","3478","41217","41217  >  3478 Len=94"
"28","0.096059793","20.202.144.138","172.20.10.8","UDP","179","41217","3478","3478  >  41217 Len=137"
"29","0.096059949","20.202.144.138","172.20.10.8","UDP","419","41217","3478","3478  >  41217 Len=377"
"30","0.098304790","20.202.144.138","172.20.10.8","UDP","177","41217","3478","3478  >  41217 Len=135"
"31","0.103882943","20.202.144.138","172.20.10.8","UDP","173","41217","3478","3478  >  41217 Len=131"
"32","0.105667369","172.20.10.8","20.202.144.138","UDP","138","3478","41217","41217  >  3478 Len=96"
"33","0.125902694","172.20.10.8","20.202.144.138","UDP","139","3478","41217","41217  >  3478 Len=97"
"34","0.146437536","20.202.144.138","172.20.10.8","UDP","1224","41217","3478","3478  >  41217 Len=1182"
"35","0.146437709","20.202.144.138","172.20.10.8","UDP","1224","41217","3478","3478  >  41217 Len=1182"
"36","0.146437757","20.202.144.138","172.20.10.8","UDP","1222","41217","3478","3478  >  41217 Len=1180"
"37","0.147460220","20.202.144.138","172.20.10.8","UDP","1215","41217","3478","3478  >  41217 Len=1173"
"38","0.147460318","20.202.144.138","172.20.10.8","UDP","1215","41217","3478","3478  >  41217 Len=1173"
"39","0.147460368","20.202.144.138","172.20.10.8","UDP","1213","41217","3478","3478  >  41217 Len=1171"
"40","0.147460404","20.202.144.138","172.20.10.8","UDP","1240","41217","3478","3478  >  41217 Len=1198"
"41","0.147460441","20.202.144.138","172.20.10.8","UDP","1240","41217","3478","3478  >  41217 Len=1198"
"42","0.147460477","20.202.144.138","172.20.10.8","UDP","163","41217","3478","3478  >  41217 Len=121"
"43","0.151383217","172.20.10.8","20.202.144.138","UDP","136","3478","41217","41217  >  3478 Len=94"
"44","0.159835878","20.202.144.138","172.20.10.8","UDP","166","41217","3478","3478  >  41217 Len=124"
"45","0.166612874","172.20.10.8","20.202.144.138","UDP","133","3478","41217","41217  >  3478 Len=91"
"46","0.166842922","172.20.10.8","20.202.144.138","STUN","146","3478","41217","Binding Request user: geRW:q8sN"
"47","0.166901773","172.20.10.8","20.202.146.15","STUN","146","3478","44992","Binding Request user: wdbv:JXyP"
"48","0.169910802","20.202.144.138","172.20.10.8","UDP","453","41217","3478","3478  >  41217 Len=411"
"49","0.173799992","20.202.144.138","172.20.10.8","UDP","142","41217","3478","3478  >  41217 Len=100"
"50","0.182768760","20.202.144.138","172.20.10.8","UDP","140","41217","3478","3478  >  41217 Len=98"
"51","0.186970491","172.20.10.8","20.202.144.138","UDP","132","3478","41217","41217  >  3478 Len=90"
"52","0.188519500","20.202.144.138","172.20.10.8","STUN","146","41217","3478","Binding Request user: q8sN:geRW"
"53","0.194384337","20.202.144.138","172.20.10.8","UDP","1013","41217","3478","3478  >  41217 Len=971"
"54","0.194384616","20.202.144.138","172.20.10.8","UDP","410","41217","3478","3478  >  41217 Len=368"
"55","0.194384690","20.202.144.138","172.20.10.8","UDP","409","41217","3478","3478  >  41217 Len=367"
"56","0.194534825","20.202.144.138","172.20.10.8","UDP","1029","41217","3478","3478  >  41217 Len=987"
"57","0.208788248","20.202.144.138","172.20.10.8","UDP","144","41217","3478","3478  >  41217 Len=102"
"58","0.213064198","172.20.10.8","20.202.144.138","UDP","135","3478","41217","41217  >  3478 Len=93"
"59","0.218775651","172.20.10.8","20.202.144.138","STUN","122","3478","41217","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.149.139:3480"
"60","0.229018997","172.20.10.8","20.202.144.138","UDP","137","3478","41217","41217  >  3478 Len=95"
"61","0.244015107","20.202.144.138","172.20.10.8","UDP","276","41217","3478","3478  >  41217 Len=234"
"62","0.244015482","20.202.144.138","172.20.10.8","UDP","143","41217","3478","3478  >  41217 Len=101"
"63","0.250985997","172.20.10.8","20.202.144.138","UDP","134","3478","41217","41217  >  3478 Len=92"
"64","0.254431630","20.202.144.138","172.20.10.8","UDP","140","41217","3478","3478  >  41217 Len=98"
"65","0.254472955","20.202.146.15","172.20.10.8","STUN","146","44992","3478","Binding Request user: JXyP:wdbv"
"66","0.260600202","20.202.144.138","172.20.10.8","UDP","1079","41217","3478","3478  >  41217 Len=1037"
"67","0.260601523","20.202.144.138","172.20.10.8","UDP","880","41217","3478","3478  >  41217 Len=838"
"68","0.266420222","20.202.144.138","172.20.10.8","UDP","880","41217","3478","3478  >  41217 Len=838"
"69","0.266420579","20.202.144.138","172.20.10.8","UDP","878","41217","3478","3478  >  41217 Len=836"
"70","0.266420761","20.202.144.138","172.20.10.8","UDP","1095","41217","3478","3478  >  41217 Len=1053"
"71","0.266594817","172.20.10.8","20.202.144.138","UDP","133","3478","41217","41217  >  3478 Len=91"
"72","0.271078469","172.20.10.8","20.202.146.15","STUN","122","3478","44992","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.149.134:3481"
"73","0.274774662","20.202.144.138","172.20.10.8","UDP","139","41217","3478","3478  >  41217 Len=97"
"74","0.281799099","172.20.10.8","20.202.144.138","RTCP","162","3478","41217","Payload-specific Feedback   ALFB  "
"75","0.287239762","172.20.10.8","20.202.144.138","UDP","135","3478","41217","41217  >  3478 Len=93"
"76","0.307960044","172.20.10.8","20.202.144.138","UDP","135","3478","41217","41217  >  3478 Len=93"
"77","0.317932903","20.202.144.138","172.20.10.8","UDP","142","41217","3478","3478  >  41217 Len=100"
"78","0.317933400","20.202.144.138","172.20.10.8","UDP","399","41217","3478","3478  >  41217 Len=357"
"79","0.322074061","20.202.146.15","172.20.10.8","STUN","122","44992","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.146.15:3481"
"80","0.322081734","20.202.144.138","172.20.10.8","STUN","122","41217","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.138:3480"
"81","0.322082143","20.202.144.138","172.20.10.8","UDP","149","41217","3478","3478  >  41217 Len=107"
"82","0.329742929","20.202.144.138","172.20.10.8","UDP","138","41217","3478","3478  >  41217 Len=96"
"83","0.333944105","172.20.10.8","20.202.144.138","UDP","132","3478","41217","41217  >  3478 Len=90"
"84","0.334193748","20.202.144.138","172.20.10.8","UDP","827","41217","3478","3478  >  41217 Len=785"
"85","0.334194044","20.202.144.138","172.20.10.8","UDP","827","41217","3478","3478  >  41217 Len=785"
"86","0.339363563","20.202.144.138","172.20.10.8","UDP","709","41217","3478","3478  >  41217 Len=667"
"87","0.339363867","20.202.144.138","172.20.10.8","UDP","709","41217","3478","3478  >  41217 Len=667"
"88","0.339363972","20.202.144.138","172.20.10.8","UDP","709","41217","3478","3478  >  41217 Len=667"
"89","0.339924686","20.202.144.138","172.20.10.8","UDP","709","41217","3478","3478  >  41217 Len=667"
"90","0.339924971","20.202.144.138","172.20.10.8","UDP","705","41217","3478","3478  >  41217 Len=663"
"91","0.339925078","20.202.144.138","172.20.10.8","UDP","843","41217","3478","3478  >  41217 Len=801"
"92","0.339925184","20.202.144.138","172.20.10.8","UDP","843","41217","3478","3478  >  41217 Len=801"
"93","0.347870874","20.202.144.138","172.20.10.8","UDP","140","41217","3478","3478  >  41217 Len=98"
"94","0.349292755","172.20.10.8","20.202.144.138","UDP","141","3478","41217","41217  >  3478 Len=99"
"95","0.358066517","20.202.144.138","172.20.10.8","UDP","496","41217","3478","3478  >  41217 Len=454"
"96","0.370002538","172.20.10.8","20.202.144.138","UDP","134","3478","41217","41217  >  3478 Len=92"
"97","0.371756076","20.202.144.138","172.20.10.8","UDP","147","41217","3478","3478  >  41217 Len=105"
"98","0.384473538","20.202.144.138","172.20.10.8","RTCP","190","41217","3478","Sender Report   ([Malformed Packet]"
"99","0.390689605","172.20.10.8","20.202.144.138","UDP","142","3478","41217","41217  >  3478 Len=100"
"100","0.394140031","20.202.144.138","172.20.10.8","UDP","1118","41217","3478","3478  >  41217 Len=1076"
"101","0.398954205","20.202.144.138","172.20.10.8","UDP","1118","41217","3478","3478  >  41217 Len=1076"
"102","0.404356998","20.202.144.138","172.20.10.8","UDP","1117","41217","3478","3478  >  41217 Len=1075"
"103","0.404357254","20.202.144.138","172.20.10.8","UDP","1028","41217","3478","3478  >  41217 Len=986"
"104","0.410049931","20.202.144.138","172.20.10.8","UDP","1028","41217","3478","3478  >  41217 Len=986"
"105","0.410050269","20.202.144.138","172.20.10.8","UDP","1028","41217","3478","3478  >  41217 Len=986"
"106","0.410050408","20.202.144.138","172.20.10.8","UDP","1026","41217","3478","3478  >  41217 Len=984"
"107","0.410910033","20.202.144.138","172.20.10.8","UDP","1134","41217","3478","3478  >  41217 Len=1092"
"108","0.410910339","20.202.144.138","172.20.10.8","UDP","1134","41217","3478","3478  >  41217 Len=1092"
"109","0.410910441","20.202.144.138","172.20.10.8","UDP","134","41217","3478","3478  >  41217 Len=92"
"110","0.410910559","20.202.144.138","172.20.10.8","UDP","130","41217","3478","3478  >  41217 Len=88"
"111","0.411618276","172.20.10.8","20.202.144.138","UDP","133","3478","41217","41217  >  3478 Len=91"
"112","0.427347920","20.202.144.138","172.20.10.8","UDP","130","41217","3478","3478  >  41217 Len=88"
"113","0.431768066","20.202.144.138","172.20.10.8","UDP","551","41217","3478","3478  >  41217 Len=509"
"114","0.432866814","172.20.10.8","20.202.144.138","UDP","133","3478","41217","41217  >  3478 Len=91"
"115","0.452782795","20.202.144.138","172.20.10.8","UDP","131","41217","3478","3478  >  41217 Len=89"
"116","0.453594953","172.20.10.8","20.202.144.138","UDP","134","3478","41217","41217  >  3478 Len=92"
"117","0.465997816","20.202.144.138","172.20.10.8","UDP","1084","41217","3478","3478  >  41217 Len=1042"
"118","0.468635140","172.20.10.8","20.202.144.138","UDP","136","3478","41217","41217  >  3478 Len=94"
"119","0.474395876","20.202.144.138","172.20.10.8","UDP","1084","41217","3478","3478  >  41217 Len=1042"
"120","0.480612108","20.202.144.138","172.20.10.8","UDP","1084","41217","3478","3478  >  41217 Len=1042"
"121","0.480612434","20.202.144.138","172.20.10.8","UDP","1083","41217","3478","3478  >  41217 Len=1041"
"122","0.480612533","20.202.144.138","172.20.10.8","UDP","1230","41217","3478","3478  >  41217 Len=1188"
