"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","20.202.146.146","192.168.0.40","UDP","1219","8690","3478","3478  >  8690 Len=1177"
"2","0.002315731","20.202.146.146","192.168.0.40","UDP","1219","8690","3478","3478  >  8690 Len=1177"
"3","0.004110720","20.202.146.146","192.168.0.40","UDP","1219","8690","3478","3478  >  8690 Len=1177"
"4","0.005297713","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"5","0.006653737","20.202.146.146","192.168.0.40","UDP","1235","8690","3478","3478  >  8690 Len=1193"
"6","0.007689182","20.202.146.146","192.168.0.40","UDP","1235","8690","3478","3478  >  8690 Len=1193"
"7","0.009340979","20.202.146.146","192.168.0.40","UDP","1235","8690","3478","3478  >  8690 Len=1193"
"8","0.009342937","20.202.146.146","192.168.0.40","UDP","136","8690","3478","3478  >  8690 Len=94"
"9","0.010432412","20.202.146.146","192.168.0.40","UDP","860","8690","3478","3478  >  8690 Len=818"
"10","0.012075399","20.202.146.146","192.168.0.40","UDP","860","8690","3478","3478  >  8690 Len=818"
"11","0.013328990","20.202.146.146","192.168.0.40","UDP","858","8690","3478","3478  >  8690 Len=816"
"12","0.013472332","20.202.146.146","192.168.0.40","UDP","963","8690","3478","3478  >  8690 Len=921"
"13","0.014388296","20.202.146.146","192.168.0.40","UDP","963","8690","3478","3478  >  8690 Len=921"
"14","0.016130594","20.202.146.146","192.168.0.40","UDP","142","8690","3478","3478  >  8690 Len=100"
"15","0.022243629","192.168.0.40","20.202.146.146","UDP","123","3478","8690","8690  >  3478 Len=81"
"16","0.030030998","20.202.146.146","192.168.0.40","UDP","132","8690","3478","3478  >  8690 Len=90"
"17","0.036260908","192.168.0.40","20.202.146.146","UDP","125","3478","8690","8690  >  3478 Len=83"
"18","0.045494709","20.202.146.146","192.168.0.40","UDP","1098","8690","3478","3478  >  8690 Len=1056"
"19","0.045869592","20.202.146.146","192.168.0.40","UDP","1098","8690","3478","3478  >  8690 Len=1056"
"20","0.047148172","20.202.146.146","192.168.0.40","UDP","1098","8690","3478","3478  >  8690 Len=1056"
"21","0.048350396","20.202.146.146","192.168.0.40","UDP","1098","8690","3478","3478  >  8690 Len=1056"
"22","0.056347589","192.168.0.40","20.202.146.146","UDP","125","3478","8690","8690  >  3478 Len=83"
"23","0.056935331","20.202.146.146","192.168.0.40","UDP","1098","8690","3478","3478  >  8690 Len=1056"
"24","0.059350557","20.202.146.146","192.168.0.40","UDP","1097","8690","3478","3478  >  8690 Len=1055"
"25","0.059403652","20.202.146.146","192.168.0.40","UDP","839","8690","3478","3478  >  8690 Len=797"
"26","0.059443760","20.202.146.146","192.168.0.40","UDP","839","8690","3478","3478  >  8690 Len=797"
"27","0.062498562","20.202.146.146","192.168.0.40","UDP","839","8690","3478","3478  >  8690 Len=797"
"28","0.062534964","20.202.146.146","192.168.0.40","UDP","839","8690","3478","3478  >  8690 Len=797"
"29","0.062620674","20.202.146.146","192.168.0.40","UDP","838","8690","3478","3478  >  8690 Len=796"
"30","0.062711699","20.202.146.146","192.168.0.40","UDP","1114","8690","3478","3478  >  8690 Len=1072"
"31","0.062810306","20.202.146.146","192.168.0.40","UDP","1114","8690","3478","3478  >  8690 Len=1072"
"32","0.062912846","20.202.146.146","192.168.0.40","UDP","1114","8690","3478","3478  >  8690 Len=1072"
"33","0.062913792","20.202.146.146","192.168.0.40","UDP","159","8690","3478","3478  >  8690 Len=117"
"34","0.078050191","192.168.0.40","20.202.146.146","UDP","120","3478","8690","8690  >  3478 Len=78"
"35","0.079157798","20.202.146.146","192.168.0.40","UDP","973","8690","3478","3478  >  8690 Len=931"
"36","0.080348054","20.202.146.146","192.168.0.40","UDP","972","8690","3478","3478  >  8690 Len=930"
"37","0.080849122","20.202.146.146","192.168.0.40","UDP","831","8690","3478","3478  >  8690 Len=789"
"38","0.089061003","20.202.146.146","192.168.0.40","UDP","830","8690","3478","3478  >  8690 Len=788"
"39","0.089062141","20.202.146.146","192.168.0.40","UDP","155","8690","3478","3478  >  8690 Len=113"
"40","0.089062655","20.202.146.146","192.168.0.40","UDP","143","8690","3478","3478  >  8690 Len=101"
"41","0.099405307","192.168.0.40","20.202.146.146","UDP","122","3478","8690","8690  >  3478 Len=80"
"42","0.115218725","192.168.0.40","20.202.146.146","UDP","123","3478","8690","8690  >  3478 Len=81"
"43","0.115325968","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"44","0.116847853","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"45","0.116890507","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"46","0.121267096","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"47","0.122410640","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"48","0.122504439","20.202.146.146","192.168.0.40","UDP","1217","8690","3478","3478  >  8690 Len=1175"
"49","0.122607061","20.202.146.146","192.168.0.40","UDP","1211","8690","3478","3478  >  8690 Len=1169"
"50","0.122712462","20.202.146.146","192.168.0.40","UDP","1207","8690","3478","3478  >  8690 Len=1165"
"51","0.122929428","20.202.146.146","192.168.0.40","UDP","1207","8690","3478","3478  >  8690 Len=1165"
"52","0.124226210","20.202.146.146","192.168.0.40","UDP","1207","8690","3478","3478  >  8690 Len=1165"
"53","0.125326973","20.202.146.146","192.168.0.40","UDP","1205","8690","3478","3478  >  8690 Len=1163"
"54","0.127568025","20.202.146.146","192.168.0.40","UDP","1233","8690","3478","3478  >  8690 Len=1191"
"55","0.128305008","20.202.146.146","192.168.0.40","UDP","1233","8690","3478","3478  >  8690 Len=1191"
"56","0.129356006","20.202.146.146","192.168.0.40","UDP","1233","8690","3478","3478  >  8690 Len=1191"
"57","0.129358881","20.202.146.146","192.168.0.40","UDP","143","8690","3478","3478  >  8690 Len=101"
"58","0.130830942","20.202.146.146","192.168.0.40","UDP","133","8690","3478","3478  >  8690 Len=91"
"59","0.137226914","192.168.0.40","20.202.146.146","UDP","130","3478","8690","8690  >  3478 Len=88"
"60","0.149601865","20.202.146.146","192.168.0.40","UDP","1226","8690","3478","3478  >  8690 Len=1184"
"61","0.152097976","20.202.146.146","192.168.0.40","UDP","1225","8690","3478","3478  >  8690 Len=1183"
"62","0.153137618","20.202.146.146","192.168.0.40","UDP","922","8690","3478","3478  >  8690 Len=880"
"63","0.153209266","20.202.146.146","192.168.0.40","UDP","922","8690","3478","3478  >  8690 Len=880"
"64","0.157283820","192.168.0.40","20.202.146.146","UDP","122","3478","8690","8690  >  3478 Len=80"
"65","0.159965618","20.202.146.146","192.168.0.40","UDP","137","8690","3478","3478  >  8690 Len=95"
"66","0.169919336","20.202.146.146","192.168.0.40","UDP","142","8690","3478","3478  >  8690 Len=100"
"67","0.177914868","192.168.0.40","20.202.146.146","UDP","121","3478","8690","8690  >  3478 Len=79"
"68","0.183034011","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"69","0.185921427","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"70","0.186965391","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"71","0.188171234","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"72","0.189655468","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"73","0.190444734","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"74","0.192209118","20.202.146.146","192.168.0.40","UDP","1158","8690","3478","3478  >  8690 Len=1116"
"75","0.198005754","192.168.0.40","20.202.146.146","UDP","121","3478","8690","8690  >  3478 Len=79"
"76","0.201501434","20.202.146.146","192.168.0.40","UDP","1155","8690","3478","3478  >  8690 Len=1113"
"77","0.201621935","20.202.146.146","192.168.0.40","UDP","1198","8690","3478","3478  >  8690 Len=1156"
"78","0.201714074","20.202.146.146","192.168.0.40","UDP","1198","8690","3478","3478  >  8690 Len=1156"
"79","0.201811230","20.202.146.146","192.168.0.40","UDP","1198","8690","3478","3478  >  8690 Len=1156"
"80","0.201919187","20.202.146.146","192.168.0.40","UDP","1197","8690","3478","3478  >  8690 Len=1155"
"81","0.201996913","20.202.146.146","192.168.0.40","UDP","1214","8690","3478","3478  >  8690 Len=1172"
"82","0.202094634","20.202.146.146","192.168.0.40","UDP","1214","8690","3478","3478  >  8690 Len=1172"
"83","0.202214498","20.202.146.146","192.168.0.40","UDP","1214","8690","3478","3478  >  8690 Len=1172"
"84","0.202218410","20.202.146.146","192.168.0.40","UDP","136","8690","3478","3478  >  8690 Len=94"
"85","0.212716261","20.202.146.146","192.168.0.40","UDP","137","8690","3478","3478  >  8690 Len=95"
"86","0.212975977","192.168.0.40","20.202.146.146","UDP","125","3478","8690","8690  >  3478 Len=83"
"87","0.229375003","20.202.146.146","192.168.0.40","UDP","136","8690","3478","3478  >  8690 Len=94"
"88","0.233969307","192.168.0.40","20.202.146.146","UDP","122","3478","8690","8690  >  3478 Len=80"
"89","0.248832526","20.202.146.146","192.168.0.40","UDP","153","8690","3478","3478  >  8690 Len=111"
"90","0.255705694","192.168.0.40","20.202.146.146","UDP","126","3478","8690","8690  >  3478 Len=84"
