"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.50","20.202.147.83","UDP","128","3478","35530","35530  >  3478 Len=86"
"2","0.020374464","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"3","0.020374810","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"4","0.020494838","192.168.0.50","20.202.147.83","UDP","124","3478","35530","35530  >  3478 Len=82"
"5","0.020684657","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"6","0.021924156","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"7","0.026633286","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"8","0.026633398","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"9","0.026633420","20.202.1.45","192.168.0.50","UDP","1206","35530","3478","3478  >  35530 Len=1164"
"10","0.032597818","20.202.1.45","192.168.0.50","UDP","1201","35530","3478","3478  >  35530 Len=1159"
"11","0.032598016","20.202.1.45","192.168.0.50","UDP","1020","35530","3478","3478  >  35530 Len=978"
"12","0.032598044","20.202.1.45","192.168.0.50","UDP","1020","35530","3478","3478  >  35530 Len=978"
"13","0.032598066","20.202.1.45","192.168.0.50","UDP","1020","35530","3478","3478  >  35530 Len=978"
"14","0.032879856","20.202.1.45","192.168.0.50","UDP","1020","35530","3478","3478  >  35530 Len=978"
"15","0.034763710","20.202.1.45","192.168.0.50","UDP","1222","35530","3478","3478  >  35530 Len=1180"
"16","0.037134050","20.202.1.45","192.168.0.50","UDP","1222","35530","3478","3478  >  35530 Len=1180"
"17","0.037680627","20.202.1.45","192.168.0.50","UDP","1222","35530","3478","3478  >  35530 Len=1180"
"18","0.040143012","20.202.1.45","192.168.0.50","UDP","1222","35530","3478","3478  >  35530 Len=1180"
"19","0.040143308","20.202.1.45","192.168.0.50","UDP","165","35530","3478","3478  >  35530 Len=123"
"20","0.041731813","20.202.1.45","192.168.0.50","UDP","1120","35530","3478","3478  >  35530 Len=1078"
"21","0.046061282","192.168.0.50","20.202.147.83","UDP","124","3478","35530","35530  >  3478 Len=82"
"22","0.046204042","20.202.1.45","192.168.0.50","UDP","1120","35530","3478","3478  >  35530 Len=1078"
"23","0.061583710","20.202.1.45","192.168.0.50","UDP","1119","35530","3478","3478  >  35530 Len=1077"
"24","0.061583803","20.202.1.45","192.168.0.50","UDP","1215","35530","3478","3478  >  35530 Len=1173"
"25","0.061583825","20.202.1.45","192.168.0.50","UDP","136","35530","3478","3478  >  35530 Len=94"
"26","0.066342932","192.168.0.50","20.202.147.83","UDP","127","3478","35530","35530  >  3478 Len=85"
"27","0.080297405","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"28","0.081000927","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"29","0.081001517","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"30","0.086898535","192.168.0.50","20.202.147.83","UDP","132","3478","35530","35530  >  3478 Len=90"
"31","0.101733137","192.168.0.50","20.202.147.83","UDP","126","3478","35530","35530  >  3478 Len=84"
"32","0.113202669","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"33","0.113202805","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"34","0.113202832","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"35","0.113202860","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"36","0.113202887","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"37","0.113477037","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"38","0.114170657","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"39","0.118709349","20.202.1.45","192.168.0.50","UDP","1171","35530","3478","3478  >  35530 Len=1129"
"40","0.123753480","192.168.0.50","20.202.147.83","UDP","130","3478","35530","35530  >  3478 Len=88"
"41","0.123926155","20.202.1.45","192.168.0.50","UDP","1168","35530","3478","3478  >  35530 Len=1126"
"42","0.123926567","20.202.1.45","192.168.0.50","UDP","1115","35530","3478","3478  >  35530 Len=1073"
"43","0.129271367","192.168.0.50","20.202.146.146","STUN","150","3478","33238","Binding Request user: AZre:yf4L"
"44","0.135871159","20.202.1.45","192.168.0.50","UDP","1115","35530","3478","3478  >  35530 Len=1073"
"45","0.135871489","20.202.1.45","192.168.0.50","UDP","143","35530","3478","3478  >  35530 Len=101"
"46","0.135871640","20.202.1.45","192.168.0.50","UDP","142","35530","3478","3478  >  35530 Len=100"
"47","0.136031110","20.202.1.45","192.168.0.50","UDP","1115","35530","3478","3478  >  35530 Len=1073"
"48","0.142941290","20.202.1.45","192.168.0.50","UDP","1115","35530","3478","3478  >  35530 Len=1073"
"49","0.142941591","20.202.1.45","192.168.0.50","UDP","1115","35530","3478","3478  >  35530 Len=1073"
"50","0.142941740","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"51","0.143849694","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"52","0.143849910","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"53","0.145384862","192.168.0.50","20.202.147.83","UDP","126","3478","35530","35530  >  3478 Len=84"
"54","0.150937424","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"55","0.154036947","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"56","0.155514236","20.202.1.45","192.168.0.50","UDP","1191","35530","3478","3478  >  35530 Len=1149"
"57","0.155514511","20.202.1.45","192.168.0.50","UDP","133","35530","3478","3478  >  35530 Len=91"
"58","0.159062267","20.202.1.45","192.168.0.50","UDP","1168","35530","3478","3478  >  35530 Len=1126"
"59","0.159612042","20.202.1.45","192.168.0.50","UDP","1168","35530","3478","3478  >  35530 Len=1126"
"60","0.160649926","192.168.0.50","20.202.147.83","UDP","129","3478","35530","35530  >  3478 Len=87"
"61","0.164749287","20.202.1.45","192.168.0.50","UDP","1168","35530","3478","3478  >  35530 Len=1126"
"62","0.164749499","20.202.1.45","192.168.0.50","UDP","1165","35530","3478","3478  >  35530 Len=1123"
"63","0.164749593","20.202.1.45","192.168.0.50","UDP","745","35530","3478","3478  >  35530 Len=703"
"64","0.165692241","20.202.1.45","192.168.0.50","UDP","744","35530","3478","3478  >  35530 Len=702"
"65","0.165692496","20.202.1.45","192.168.0.50","UDP","131","35530","3478","3478  >  35530 Len=89"
"66","0.167689722","20.202.1.45","192.168.0.50","UDP","132","35530","3478","3478  >  35530 Len=90"
"67","0.177266754","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"68","0.177267008","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"69","0.177503135","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"70","0.182017446","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"71","0.182017715","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"72","0.185883133","192.168.0.50","20.202.147.83","UDP","128","3478","35530","35530  >  3478 Len=86"
"73","0.187476369","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"74","0.187476545","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"75","0.191515308","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"76","0.191515452","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"77","0.191515523","20.202.1.45","192.168.0.50","UDP","139","35530","3478","3478  >  35530 Len=97"
"78","0.199197168","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"79","0.199197327","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"80","0.202137684","20.202.1.45","192.168.0.50","UDP","1164","35530","3478","3478  >  35530 Len=1122"
"81","0.202137760","20.202.1.45","192.168.0.50","UDP","968","35530","3478","3478  >  35530 Len=926"
"82","0.206045474","192.168.0.50","20.202.147.83","UDP","127","3478","35530","35530  >  3478 Len=85"
"83","0.207469260","20.202.1.45","192.168.0.50","UDP","968","35530","3478","3478  >  35530 Len=926"
"84","0.207469378","20.202.1.45","192.168.0.50","UDP","968","35530","3478","3478  >  35530 Len=926"
"85","0.212281926","20.202.1.45","192.168.0.50","UDP","968","35530","3478","3478  >  35530 Len=926"
"86","0.212282067","20.202.1.45","192.168.0.50","UDP","144","35530","3478","3478  >  35530 Len=102"
"87","0.212634822","20.202.1.45","192.168.0.50","UDP","965","35530","3478","3478  >  35530 Len=923"
"88","0.212634884","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"89","0.212634924","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"90","0.213282300","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"91","0.215287411","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"92","0.218622921","20.202.146.146","192.168.0.50","STUN","146","33238","3478","Binding Request user: yf4L:AZre"
"93","0.218623043","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"94","0.219105587","20.202.1.45","192.168.0.50","UDP","1184","35530","3478","3478  >  35530 Len=1142"
"95","0.220878156","192.168.0.50","20.202.147.83","UDP","125","3478","35530","35530  >  3478 Len=83"
"96","0.220896681","20.202.1.45","192.168.0.50","UDP","1023","35530","3478","3478  >  35530 Len=981"
"97","0.222167038","20.202.1.45","192.168.0.50","UDP","1023","35530","3478","3478  >  35530 Len=981"
"98","0.225412717","20.202.1.45","192.168.0.50","UDP","1023","35530","3478","3478  >  35530 Len=981"
"99","0.225412780","20.202.1.45","192.168.0.50","RTCP","190","35530","3478","Sender Report   (PSE:Unknown  PSE:Unknown  [Malformed Packet]"
"100","0.225412817","20.202.1.45","192.168.0.50","UDP","140","35530","3478","3478  >  35530 Len=98"
"101","0.226076717","20.202.1.45","192.168.0.50","UDP","1020","35530","3478","3478  >  35530 Len=978"
"102","0.227357731","20.202.1.45","192.168.0.50","UDP","773","35530","3478","3478  >  35530 Len=731"
"103","0.228260226","20.202.1.45","192.168.0.50","UDP","773","35530","3478","3478  >  35530 Len=731"
"104","0.229387236","20.202.1.45","192.168.0.50","UDP","138","35530","3478","3478  >  35530 Len=96"
"105","0.231095522","20.202.1.45","192.168.0.50","UDP","1234","35530","3478","3478  >  35530 Len=1192"
"106","0.233068216","192.168.0.50","20.202.146.146","STUN","122","3478","33238","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.134:3481"
"107","0.233491884","20.202.1.45","192.168.0.50","UDP","1234","35530","3478","3478  >  35530 Len=1192"
"108","0.235018517","20.202.1.45","192.168.0.50","UDP","1234","35530","3478","3478  >  35530 Len=1192"
"109","0.239928075","20.202.1.45","192.168.0.50","UDP","1234","35530","3478","3478  >  35530 Len=1192"
"110","0.242170140","192.168.0.50","20.202.147.83","UDP","140","3478","35530","35530  >  3478 Len=98"
