"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","172.20.10.8","20.202.144.138","UDP","139","3478","41217","41217  >  3478 Len=97"
"2","0.007560002","172.20.10.8","20.202.144.138","UDP","212","3478","41217","41217  >  3478 Len=170"
"3","0.021672663","172.20.10.8","20.202.144.138","UDP","139","3478","41217","41217  >  3478 Len=97"
"4","0.028625385","172.20.10.8","20.202.144.138","UDP","636","3478","41217","41217  >  3478 Len=594"
"5","0.028667898","172.20.10.8","20.202.144.138","UDP","479","3478","41217","41217  >  3478 Len=437"
"6","0.028673895","172.20.10.8","20.202.144.138","UDP","652","3478","41217","41217  >  3478 Len=610"
"7","0.041558059","172.20.10.8","20.202.144.138","UDP","148","3478","41217","41217  >  3478 Len=106"
"8","0.057710599","172.20.10.8","20.202.144.138","UDP","163","3478","41217","41217  >  3478 Len=121"
"9","0.059812154","172.20.10.8","20.202.144.138","UDP","207","3478","41217","41217  >  3478 Len=165"
"10","0.078185883","172.20.10.8","20.202.144.138","UDP","146","3478","41217","41217  >  3478 Len=104"
"11","0.091254735","172.20.10.8","20.202.144.138","UDP","748","3478","41217","41217  >  3478 Len=706"
"12","0.091300355","172.20.10.8","20.202.144.138","UDP","870","3478","41217","41217  >  3478 Len=828"
"13","0.091307375","172.20.10.8","20.202.144.138","UDP","886","3478","41217","41217  >  3478 Len=844"
"14","0.105063942","172.20.10.8","20.202.144.138","UDP","143","3478","41217","41217  >  3478 Len=101"
"15","0.121623846","172.20.10.8","20.202.144.138","UDP","145","3478","41217","41217  >  3478 Len=103"
"16","0.122615643","172.20.10.8","20.202.144.138","UDP","337","3478","41217","41217  >  3478 Len=295"
"17","0.143027480","172.20.10.8","20.202.144.138","UDP","143","3478","41217","41217  >  3478 Len=101"
"18","0.157964708","172.20.10.8","20.202.144.138","UDP","157","3478","41217","41217  >  3478 Len=115"
"19","0.165048347","172.20.10.8","20.202.144.138","UDP","711","3478","41217","41217  >  3478 Len=669"
"20","0.165102299","172.20.10.8","20.202.144.138","UDP","570","3478","41217","41217  >  3478 Len=528"
"21","0.165117832","172.20.10.8","20.202.144.138","UDP","570","3478","41217","41217  >  3478 Len=528"
