"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.40","20.202.146.146","UDP","1231","3478","8690","8690  >  3478 Len=1189"
"2","0.000015524","192.168.0.40","20.202.146.146","UDP","422","3478","8690","8690  >  3478 Len=380"
"3","0.000020091","192.168.0.40","20.202.146.146","UDP","422","3478","8690","8690  >  3478 Len=380"
"4","0.000024685","192.168.0.40","20.202.146.146","UDP","420","3478","8690","8690  >  3478 Len=378"
"5","0.000029357","192.168.0.40","20.202.146.146","UDP","1247","3478","8690","8690  >  3478 Len=1205"
"6","0.001503493","192.168.0.40","20.202.146.146","UDP","143","3478","8690","8690  >  3478 Len=101"
"7","0.021414905","192.168.0.40","20.202.146.146","UDP","573","3478","8690","8690  >  3478 Len=531"
"8","0.022059880","192.168.0.40","20.202.146.146","UDP","150","3478","8690","8690  >  3478 Len=108"
"9","0.036899591","192.168.0.40","20.202.146.146","UDP","159","3478","8690","8690  >  3478 Len=117"
"10","0.047048751","fe80::f414:6cff:fe2d:4acf","ff02::fb","MDNS","526","5353","5353","Standard query response 0x0000 PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local PTR, cache flush Android-2.local A, cache flush 192.168.0.29 AAAA, cache flush 2a02:2788:7d4:2bf:1d06:705e:bcc6:951f AAAA, cache flush fe80::f414:6cff:fe2d:4acf AAAA, cache flush 2a02:2788:7d4:2bf:f414:6cff:fe2d:4acf NSEC, cache flush 29.0.168.192.in-addr.arpa NSEC, cache flush F.1.5.9.6.C.C.B.E.5.0.7.6.0.D.1.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush F.C.A.4.D.2.E.F.F.F.C.6.4.1.4.F.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush F.C.A.4.D.2.E.F.F.F.C.6.4.1.4.F.F.B.2.0.4.D.7.0.8.8.7.2.2.0.A.2.ip6.arpa NSEC, cache flush Android-2.local"
"11","0.052655178","192.168.0.40","20.202.146.146","UDP","1058","3478","8690","8690  >  3478 Len=1016"
"12","0.052679473","192.168.0.40","20.202.146.146","UDP","1057","3478","8690","8690  >  3478 Len=1015"
"13","0.052685840","192.168.0.40","20.202.146.146","UDP","663","3478","8690","8690  >  3478 Len=621"
"14","0.052690569","192.168.0.40","20.202.146.146","UDP","663","3478","8690","8690  >  3478 Len=621"
"15","0.052702895","192.168.0.40","20.202.146.146","UDP","661","3478","8690","8690  >  3478 Len=619"
"16","0.052708170","192.168.0.40","20.202.146.146","UDP","1074","3478","8690","8690  >  3478 Len=1032"
"17","0.058531869","192.168.0.40","20.202.146.146","UDP","157","3478","8690","8690  >  3478 Len=115"
"18","0.063046747","192.168.0.40","20.202.146.146","STUN","146","3478","8690","Binding Request user: dhAl:mG6g"
"19","0.079812995","192.168.0.40","20.202.146.146","UDP","149","3478","8690","8690  >  3478 Len=107"
"20","0.094063912","20.202.146.146","192.168.0.40","RTCP","162","8690","3478","Payload-specific Feedback   ALFB  "
"21","0.094829611","192.168.0.40","20.202.146.146","UDP","745","3478","8690","8690  >  3478 Len=703"
"22","0.100129611","192.168.0.40","20.202.146.146","UDP","140","3478","8690","8690  >  3478 Len=98"
"23","0.109049371","20.202.146.146","192.168.0.40","STUN","146","8690","3478","Binding Request user: mG6g:dhAl"
"24","0.115976710","192.168.0.40","20.202.146.146","STUN","122","3478","8690","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.146.140:3480"
"25","0.120525085","192.168.0.40","20.202.146.146","UDP","135","3478","8690","8690  >  3478 Len=93"
"26","0.127233879","192.168.0.40","20.202.146.146","UDP","690","3478","8690","8690  >  3478 Len=648"
"27","0.127259356","192.168.0.40","20.202.146.146","UDP","690","3478","8690","8690  >  3478 Len=648"
"28","0.127271954","192.168.0.40","20.202.146.146","UDP","571","3478","8690","8690  >  3478 Len=529"
"29","0.127285324","192.168.0.40","20.202.146.146","UDP","571","3478","8690","8690  >  3478 Len=529"
"30","0.127295953","192.168.0.40","20.202.146.146","UDP","571","3478","8690","8690  >  3478 Len=529"
"31","0.127306711","192.168.0.40","20.202.146.146","UDP","570","3478","8690","8690  >  3478 Len=528"
"32","0.138683434","192.168.0.40","20.202.146.146","UDP","706","3478","8690","8690  >  3478 Len=664"
"33","0.141748749","192.168.0.40","20.202.146.146","UDP","157","3478","8690","8690  >  3478 Len=115"
"34","0.157350284","192.168.0.40","20.202.146.146","UDP","150","3478","8690","8690  >  3478 Len=108"
"35","0.159691441","192.168.0.40","20.202.146.146","UDP","672","3478","8690","8690  >  3478 Len=630"
"36","0.164109310","20.202.146.146","192.168.0.40","STUN","122","8690","3478","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.146.146:3480"
"37","0.177993328","192.168.0.40","20.202.146.146","UDP","156","3478","8690","8690  >  3478 Len=114"
"38","0.191339332","192.168.0.40","20.202.146.146","UDP","1083","3478","8690","8690  >  3478 Len=1041"
"39","0.191361283","192.168.0.40","20.202.146.146","UDP","521","3478","8690","8690  >  3478 Len=479"
"40","0.191370421","192.168.0.40","20.202.146.146","UDP","521","3478","8690","8690  >  3478 Len=479"
"41","0.201864774","192.168.0.40","20.202.146.146","UDP","521","3478","8690","8690  >  3478 Len=479"
"42","0.203789249","192.168.0.40","20.202.146.146","UDP","145","3478","8690","8690  >  3478 Len=103"
"43","0.212364800","192.168.0.40","20.202.146.146","UDP","520","3478","8690","8690  >  3478 Len=478"
"44","0.219491591","192.168.0.40","20.202.146.146","UDP","164","3478","8690","8690  >  3478 Len=122"
"45","0.222999731","192.168.0.40","20.202.146.146","UDP","1099","3478","8690","8690  >  3478 Len=1057"
"46","0.226708852","fe80::f414:6cff:fe2d:4acf","ff02::fb","MDNS","120","5353","5353","Standard query 0x0000 PTR _sonycast._tcp.local, ""QM"" question PTR _tidalconnect._tcp.local, ""QM"" question"
"47","0.240243704","192.168.0.40","20.202.146.146","UDP","169","3478","8690","8690  >  3478 Len=127"
"48","0.243975921","192.168.0.40","20.202.146.146","UDP","695","3478","8690","8690  >  3478 Len=653"
"49","0.254610761","192.168.0.40","20.202.146.146","UDP","1132","3478","8690","8690  >  3478 Len=1090"
"50","0.258680667","20.202.144.10","192.168.0.40","RTCP","86","33230","3478","Receiver Report   ([Malformed Packet]"
"51","0.260914182","192.168.0.40","20.202.146.146","UDP","165","3478","8690","8690  >  3478 Len=123"
"52","0.273902437","20.202.144.10","192.168.0.40","RTCP","1262","33230","3478","Receiver Report   ([Malformed Packet]"
"53","0.275609524","192.168.0.40","20.202.146.146","UDP","417","3478","8690","8690  >  3478 Len=375"
"54","0.275647622","192.168.0.40","20.202.146.146","UDP","417","3478","8690","8690  >  3478 Len=375"
"55","0.276549463","192.168.0.40","20.202.146.146","UDP","189","3478","8690","8690  >  3478 Len=147"
"56","0.286276652","192.168.0.40","20.202.146.146","UDP","416","3478","8690","8690  >  3478 Len=374"
"57","0.296974162","192.168.0.40","20.202.146.146","UDP","1148","3478","8690","8690  >  3478 Len=1106"
"58","0.297707589","192.168.0.40","20.202.146.146","UDP","184","3478","8690","8690  >  3478 Len=142"
"59","0.308133450","20.202.146.146","192.168.0.40","RTCP","162","8690","3478","Payload-specific Feedback   ALFB  "
"60","0.317916657","192.168.0.40","20.202.146.146","UDP","632","3478","8690","8690  >  3478 Len=590"
"61","0.323925325","192.168.0.40","20.202.146.146","UDP","167","3478","8690","8690  >  3478 Len=125"
"62","0.328537825","192.168.0.40","20.202.146.146","UDP","1225","3478","8690","8690  >  3478 Len=1183"
"63","0.340239629","192.168.0.40","20.202.146.146","UDP","152","3478","8690","8690  >  3478 Len=110"
"64","0.349818567","192.168.0.40","20.202.146.146","UDP","539","3478","8690","8690  >  3478 Len=497"
"65","0.360378697","192.168.0.40","20.202.146.146","UDP","163","3478","8690","8690  >  3478 Len=121"
"66","0.360879923","192.168.0.40","20.202.146.146","UDP","539","3478","8690","8690  >  3478 Len=497"
"67","0.371481667","192.168.0.40","20.202.146.146","UDP","537","3478","8690","8690  >  3478 Len=495"
"68","0.371540215","192.168.0.40","20.202.146.146","UDP","1241","3478","8690","8690  >  3478 Len=1199"
"69","0.382070619","192.168.0.40","20.202.146.146","UDP","158","3478","8690","8690  >  3478 Len=116"
"70","0.396862720","192.168.0.40","20.202.146.146","UDP","171","3478","8690","8690  >  3478 Len=129"
"71","0.403422844","192.168.0.40","20.202.146.146","UDP","476","3478","8690","8690  >  3478 Len=434"
"72","0.403455129","192.168.0.40","20.202.146.146","UDP","1008","3478","8690","8690  >  3478 Len=966"
"73","0.418812587","192.168.0.40","20.202.146.146","UDP","162","3478","8690","8690  >  3478 Len=120"
"74","0.424523306","192.168.0.40","20.202.146.146","UDP","363","3478","8690","8690  >  3478 Len=321"
"75","0.435206054","192.168.0.40","20.202.146.146","UDP","363","3478","8690","8690  >  3478 Len=321"
"76","0.435242696","192.168.0.40","20.202.146.146","UDP","361","3478","8690","8690  >  3478 Len=319"
"77","0.439101260","192.168.0.40","20.202.146.146","UDP","170","3478","8690","8690  >  3478 Len=128"
"78","0.445752669","192.168.0.40","20.202.146.146","UDP","1024","3478","8690","8690  >  3478 Len=982"
"79","0.456047237","192.168.0.40","20.202.144.10","RTCP","134","3478","33230","Receiver Report   (PSE:Unknown  [Malformed Packet]"
"80","0.465439617","192.168.0.40","20.202.146.146","UDP","181","3478","8690","8690  >  3478 Len=139"
"81","0.466895082","192.168.0.40","20.202.146.146","UDP","378","3478","8690","8690  >  3478 Len=336"
"82","0.466930142","192.168.0.40","20.202.146.146","UDP","599","3478","8690","8690  >  3478 Len=557"
"83","0.476114572","192.168.0.40","20.202.146.146","UDP","179","3478","8690","8690  >  3478 Len=137"
"84","0.487705576","192.168.0.40","20.202.144.10","STUN","146","3478","33230","Binding Request user: wemB:IYWI"
"85","0.488204446","192.168.0.40","20.202.146.146","UDP","391","3478","8690","8690  >  3478 Len=349"
"86","0.488232825","192.168.0.40","20.202.146.146","UDP","391","3478","8690","8690  >  3478 Len=349"
"87","0.498884481","192.168.0.40","20.202.146.146","UDP","391","3478","8690","8690  >  3478 Len=349"
"88","0.498924309","192.168.0.40","20.202.146.146","UDP","388","3478","8690","8690  >  3478 Len=346"
"89","0.502365586","192.168.0.40","20.202.146.146","UDP","181","3478","8690","8690  >  3478 Len=139"
"90","0.509409638","192.168.0.40","20.202.146.146","UDP","615","3478","8690","8690  >  3478 Len=573"
"91","0.518165715","192.168.0.40","20.202.146.146","UDP","173","3478","8690","8690  >  3478 Len=131"
