"No.","Time","Source","Destination","Protocol","Length","Destination Port","Source Port","Info"
"1","0.000000000","192.168.0.50","20.202.147.83","RTCP","190","3478","35530","Sender Report   ([Malformed Packet]"
"2","0.010925852","192.168.0.50","20.202.147.83","UDP","166","3478","35530","35530  >  3478 Len=124"
"3","0.011592779","192.168.0.50","20.202.147.83","UDP","497","3478","35530","35530  >  3478 Len=455"
"4","0.030586287","192.168.0.50","20.202.147.83","UDP","174","3478","35530","35530  >  3478 Len=132"
"5","0.032378717","192.168.0.50","20.202.147.83","UDP","875","3478","35530","35530  >  3478 Len=833"
"6","0.032391091","192.168.0.50","20.202.147.83","UDP","460","3478","35530","35530  >  3478 Len=418"
"7","0.032396625","192.168.0.50","20.202.147.83","UDP","460","3478","35530","35530  >  3478 Len=418"
"8","0.032401635","192.168.0.50","20.202.147.83","UDP","460","3478","35530","35530  >  3478 Len=418"
"9","0.032406494","192.168.0.50","20.202.147.83","UDP","460","3478","35530","35530  >  3478 Len=418"
"10","0.032411313","192.168.0.50","20.202.147.83","UDP","458","3478","35530","35530  >  3478 Len=416"
"11","0.032416570","192.168.0.50","20.202.147.83","UDP","891","3478","35530","35530  >  3478 Len=849"
"12","0.047355450","20.202.146.146","192.168.0.50","STUN","146","33238","3478","Binding Request user: yf4L:AZre"
"13","0.050833483","192.168.0.50","20.202.147.83","UDP","163","3478","35530","35530  >  3478 Len=121"
"14","0.064186573","192.168.0.50","20.202.146.146","STUN","122","3478","33238","Binding Success Response XOR-MAPPED-ADDRESS: 20.202.144.134:3481"
"15","0.065042852","192.168.0.50","20.202.147.83","UDP","652","3478","35530","35530  >  3478 Len=610"
"16","0.072176882","192.168.0.50","20.202.147.83","UDP","162","3478","35530","35530  >  3478 Len=120"
"17","0.087470231","192.168.0.50","20.202.147.83","UDP","158","3478","35530","35530  >  3478 Len=116"
"18","0.096520786","192.168.0.50","20.202.147.83","UDP","842","3478","35530","35530  >  3478 Len=800"
"19","0.096582430","192.168.0.50","20.202.147.83","UDP","842","3478","35530","35530  >  3478 Len=800"
"20","0.096601129","192.168.0.50","20.202.147.83","UDP","513","3478","35530","35530  >  3478 Len=471"
"21","0.096616368","192.168.0.50","20.202.147.83","UDP","513","3478","35530","35530  >  3478 Len=471"
"22","0.096631125","192.168.0.50","20.202.147.83","UDP","513","3478","35530","35530  >  3478 Len=471"
"23","0.096646225","192.168.0.50","20.202.147.83","UDP","513","3478","35530","35530  >  3478 Len=471"
